time,x,y,z
17,9.857,-0.584,3.935
27,9.306,-0.445,3.734
38,8.665,-0.67,3.432
47,8.564,-0.718,3.394
58,8.512,-0.804,3.361
71,8.579,-0.618,3.413
82,8.833,-0.244,3.681
93,9.134,-0.168,3.935
103,9.541,-0.115,4.084
112,9.464,-0.33,4.002
124,9.244,-0.297,3.863
132,8.952,-0.56,3.605
147,8.684,-0.723,3.456
156,8.483,-1.034,3.346
167,8.445,-0.886,3.471
178,8.928,-0.641,3.648
191,9.479,-0.354,3.863
202,9.895,-0.407,4.112
213,9.929,-0.316,4.017
224,9.081,-0.589,3.662
239,8.526,-0.905,3.399
248,8.244,-0.866,3.227
259,8.383,-0.843,3.432
270,8.828,-0.45,3.701
281,9.441,-0.517,3.882
295,9.646,-0.349,4.05
306,9.34,-0.531,3.83
316,8.866,-0.527,3.638
327,8.761,-0.613,3.528
337,8.88,-0.589,3.614
347,8.933,-0.517,3.672
360,8.828,-0.651,3.643
370,8.895,-0.507,3.696
381,9.225,-0.665,3.93
390,9.823,-0.723,4.136
401,10.111,-0.383,4.16
415,9.709,-0.732,3.902
426,8.89,-0.981,3.567
440,8.502,-0.814,3.375
451,8.507,-0.661,3.461
460,8.947,-0.421,3.634
470,9.23,-0.244,3.854
481,9.479,-0.512,3.868
495,9.373,-0.369,3.849
504,9.211,-0.709,3.835
514,9.306,-0.828,3.849
524,9.263,-0.799,3.763
535,9.235,-0.632,3.72
549,9.101,-0.345,3.667
560,9.01,-0.383,3.662
569,8.947,-0.426,3.772
580,8.909,-0.91,3.672
591,9.153,-0.838,3.768
601,9.297,-0.555,3.83
615,9.297,-0.354,3.835
628,9.12,-0.273,3.777
634,9.01,-0.158,3.772
646,8.842,-0.259,3.725
657,8.531,-0.33,3.528
668,8.622,-0.646,3.442
683,8.947,-0.799,3.614
694,9.153,-0.89,3.739
704,9.575,-1.144,3.906
711,9.79,-0.843,3.945
720,9.689,-0.675,3.935
735,9.579,-0.44,3.854
745,9.306,-0.306,3.72
756,8.933,-0.474,3.543
766,8.646,-0.795,3.447
777,8.785,-0.991,3.461
791,9.206,-1.029,3.624
801,9.608,-0.895,3.887
811,9.709,-0.565,4.031
818,9.373,-0.393,3.916
828,8.722,-0.254,3.734
842,8.679,-0.306,3.672
853,8.756,-0.321,3.672
864,8.88,-0.546,3.677
874,8.933,-0.632,3.72
885,9.129,-0.943,3.806
900,9.383,-0.766,3.978
909,9.488,-0.407,4.06
916,9.369,-0.416,3.916
928,9.029,-0.124,3.763
939,8.694,0.014,3.643
954,8.545,-0.393,3.581
962,8.545,-0.752,3.547
974,8.995,-0.771,3.662
987,9.287,-0.689,3.897
998,9.713,-0.517,3.993
1012,9.704,-0.206,4.079
1021,9.306,-0.45,3.906
1031,8.861,-0.857,3.528
1039,8.507,-0.613,3.567
1049,8.679,-0.79,3.552
1063,9.029,-0.45,3.715
1073,9.34,-0.321,3.863
1083,9.407,-0.278,3.83
1093,9.268,-0.393,3.801
1104,9.23,-0.804,3.839
1117,9.0,-1.015,3.648
1127,8.775,-0.823,3.495
1137,8.809,-0.536,3.576
1147,8.919,-0.512,3.71
1158,9.0,-0.354,3.878
1167,9.192,-0.407,3.973
1178,9.373,-0.531,3.973
1192,9.445,-0.517,3.916
1203,9.441,-0.474,3.839
1213,9.335,-0.421,3.768
1220,9.0,-0.503,3.571
1231,8.612,-1.101,3.442
1241,8.579,-1.149,3.342
1253,8.708,-0.776,3.413
1264,9.11,-0.45,3.705
1274,9.575,-0.34,3.978
1285,9.891,-0.115,4.203
1294,9.445,-0.354,4.112
1310,8.928,-0.622,3.763
1320,8.718,-0.694,3.456
1331,8.837,-0.761,3.442
1342,9.038,-0.713,3.72
1351,9.397,-0.316,3.887
1358,9.373,-0.359,3.796
1373,9.053,-0.531,3.715
1383,8.914,-0.503,3.696
1394,9.182,-0.551,3.815
1404,9.23,-0.383,3.815
1418,9.249,-0.57,3.825
1427,9.335,-0.67,3.926
1438,9.11,-0.737,3.705
1444,8.837,-0.651,3.634
1454,8.818,-0.45,3.586
1465,9.01,-0.369,3.696
1480,9.297,-0.268,3.758
1490,9.388,-0.302,3.916
1501,9.488,-0.455,3.993
1511,9.369,-0.943,3.868
1522,9.067,-0.9,3.677
1535,8.976,-0.44,3.715
1547,8.991,-0.239,3.787
1557,9.125,-0.22,3.854
1568,9.177,-0.45,3.811
1578,9.11,-0.608,3.734
1593,9.105,-0.785,3.768
1600,9.211,-0.78,3.739
1613,9.239,-0.598,3.72
1624,9.168,-0.455,3.715
1636,8.971,-0.598,3.605
1647,8.766,-0.484,3.763
1663,8.703,-0.656,3.672
1673,8.77,-0.718,3.619
1681,8.943,-0.383,3.696
1692,9.259,-0.206,3.964
1703,9.436,-0.297,4.064
1717,9.512,-0.527,4.088
1728,9.005,-0.153,3.854
1736,8.813,-0.292,3.739
1748,8.641,-0.393,3.667
1762,8.593,-0.474,3.667
1773,8.541,-0.819,3.619
1783,8.497,-0.742,3.715
1793,8.88,-0.292,3.945
1804,9.517,-0.129,4.175
1814,9.469,-0.163,4.021
1829,8.823,-0.359,3.916
1839,8.397,-0.541,3.48
1850,8.181,-0.445,3.6
1859,8.584,-0.555,3.59
1869,8.962,-0.33,3.768
1883,9.503,-0.072,4.017
1894,9.785,-0.34,4.131
1904,9.895,-0.211,4.251
1915,9.938,-0.397,4.285
1930,9.56,-1.163,3.954
1940,9.259,-0.814,3.763
1951,9.254,-0.618,3.777
1962,9.058,-0.416,3.839
1976,9.019,-0.383,3.849
1987,8.689,-0.584,3.906
1998,8.588,-1.048,3.586
2008,7.382,-0.235,3.634
2019,8.823,-0.388,3.504
