time,x,y,z
17,-0.001,0.115,0.046
27,-0.027,0.109,0.048
38,-0.021,0.065,0.055
47,0.001,0.011,0.045
58,0.027,-0.031,0.038
71,0.049,-0.098,0.039
82,0.0,-0.106,0.045
93,-0.031,-0.072,0.054
103,-0.057,-0.001,0.039
112,-0.055,0.059,0.011
124,-0.054,0.086,-0.04
132,-0.043,0.059,-0.048
147,-0.04,-0.02,-0.044
156,-0.004,-0.067,-0.013
167,0.009,-0.136,0.012
178,0.006,-0.154,0.032
191,-0.017,-0.128,0.034
202,-0.031,-0.004,0.059
213,-0.059,0.093,0.065
224,-0.057,0.115,0.016
239,-0.013,0.089,-0.099
248,0.061,-0.021,-0.136
259,0.103,-0.115,-0.1
270,0.028,-0.142,-0.016
281,-0.029,-0.126,0.099
295,-0.083,-0.034,0.183
306,-0.101,0.017,0.101
316,-0.032,0.009,0.0
327,0.024,-0.015,-0.147
337,0.056,-0.048,-0.172
347,0.031,-0.064,-0.123
360,-0.009,-0.12,-0.002
370,-0.053,-0.154,0.048
381,-0.057,-0.132,0.062
390,-0.029,-0.044,0.059
401,-0.034,0.05,0.031
415,-0.034,0.105,-0.001
426,0.002,0.088,0.0
440,0.032,0.017,-0.042
451,0.043,-0.071,-0.068
460,0.051,-0.097,-0.089
470,0.016,-0.083,-0.089
481,-0.002,-0.073,-0.024
495,-0.039,-0.07,0.073
504,-0.098,-0.06,0.117
514,-0.071,-0.028,0.106
524,-0.028,0.004,0.018
535,0.048,0.015,-0.067
549,0.045,-0.01,-0.084
560,0.015,-0.038,0.009
569,-0.067,-0.059,0.054
580,-0.048,-0.07,0.095
591,0.0,-0.033,0.084
601,0.018,-0.004,0.051
615,0.012,0.011,0.004
628,0.013,0.023,0.013
634,-0.016,0.021,0.013
646,-0.051,0.012,0.007
657,-0.033,-0.045,-0.023
668,-0.066,-0.126,-0.045
683,-0.05,-0.151,-0.001
694,-0.044,-0.134,0.039
704,0.001,-0.06,0.064
711,0.002,-0.01,0.045
720,0.035,0.04,0.002
735,0.061,0.076,-0.053
745,0.039,0.059,-0.05
756,-0.029,0.006,-0.011
766,-0.045,-0.06,0.049
777,-0.037,-0.1,0.081
791,-0.004,-0.061,0.067
801,0.057,0.009,0.027
811,0.067,0.071,-0.01
818,0.07,0.081,-0.021
828,0.051,0.029,-0.031
842,0.02,-0.022,-0.013
853,-0.022,-0.086,0.001
864,-0.04,-0.1,0.012
874,-0.04,-0.104,0.016
885,-0.011,-0.078,0.024
900,0.039,-0.016,0.017
909,0.038,0.078,-0.011
916,0.056,0.087,-0.033
928,0.075,0.059,-0.045
939,0.005,-0.015,-0.039
954,-0.062,-0.1,0.04
962,-0.071,-0.127,0.066
974,-0.038,-0.133,0.046
987,0.0,-0.081,-0.017
998,0.039,-0.027,-0.038
1012,0.005,0.027,-0.037
1021,-0.032,0.06,-0.016
1031,0.013,0.02,-0.01
1039,0.016,-0.02,-0.035
1049,0.042,-0.06,-0.049
1063,0.048,-0.092,-0.05
1073,-0.006,-0.089,-0.021
1083,-0.053,-0.086,0.034
1093,-0.097,-0.067,0.066
1104,-0.083,-0.022,0.064
1117,-0.031,0.032,-0.002
1127,0.059,0.02,-0.12
1137,0.086,-0.045,-0.15
1147,0.057,-0.093,-0.097
1158,-0.012,-0.132,-0.002
1167,-0.071,-0.131,0.081
1178,-0.084,-0.089,0.094
1192,-0.042,-0.02,-0.004
1203,0.01,0.015,-0.056
1213,-0.006,0.028,-0.055
1220,-0.043,0.011,-0.031
1231,-0.038,-0.034,0.026
1241,0.006,-0.078,0.051
1253,0.037,-0.13,-0.002
1264,0.05,-0.127,-0.029
1274,0.046,-0.095,-0.034
1285,-0.007,0.007,-0.011
1294,-0.042,0.065,0.012
1310,-0.045,0.065,0.006
1320,-0.011,0.017,-0.065
1331,0.043,-0.062,-0.076
1342,0.048,-0.098,-0.02
1351,-0.007,-0.082,0.057
1358,-0.048,-0.067,0.086
1373,-0.054,-0.059,0.093
1383,-0.02,-0.05,0.026
1394,0.013,-0.023,-0.028
1404,0.017,-0.009,-0.078
1418,0.007,-0.005,-0.044
1427,-0.007,0.018,0.02
1438,-0.009,0.011,0.065
1444,-0.005,0.001,0.059
1454,0.026,-0.037,0.011
1465,0.044,-0.059,-0.056
1480,0.045,-0.055,-0.055
1490,-0.001,-0.039,-0.001
1501,-0.068,-0.001,0.056
1511,-0.056,0.053,0.09
1522,0.028,0.055,0.088
1535,0.04,0.021,0.028
1547,0.018,-0.033,-0.005
1557,-0.028,-0.044,-0.002
1568,-0.048,-0.038,0.032
1578,-0.062,-0.035,0.07
1593,-0.051,-0.016,0.108
1600,-0.027,0.013,0.11
1613,0.015,0.023,0.072
1624,0.026,0.032,0.021
1636,0.038,0.001,0.012
1647,0.029,-0.021,0.034
1663,0.009,-0.022,0.034
1673,0.05,-0.045,0.012
1681,0.055,-0.051,-0.004
1692,0.044,-0.045,0.007
1703,-0.007,0.009,0.018
1717,0.009,0.072,0.042
1728,-0.018,0.049,0.012
1736,-0.021,0.024,0.011
1748,-0.016,-0.034,0.034
1762,-0.046,-0.056,0.064
1773,-0.017,-0.092,0.077
1783,0.01,-0.101,0.048
1793,0.02,-0.093,0.017
1804,-0.011,-0.022,-0.001
1814,-0.023,0.031,-0.007
1829,-0.049,0.048,-0.012
1839,-0.018,-0.009,-0.017
1850,-0.006,-0.083,-0.056
1859,0.012,-0.115,-0.072
1869,0.049,-0.138,-0.125
1883,0.024,-0.094,-0.177
1894,0.021,-0.055,-0.132
1904,-0.042,-0.018,-0.038
1915,-0.114,0.031,0.078
1930,-0.1,0.099,0.106
1940,0.013,0.087,0.065
1951,0.045,0.061,0.061
1962,0.021,0.024,0.105
1976,-0.055,-0.011,0.233
