time,x,y,z
17,8.22,-0.627,4.524
28,8.296,-1.048,4.572
38,8.421,-1.254,4.744
48,9.115,-0.934,5.027
59,9.551,-0.263,5.323
74,9.393,-0.196,5.098
84,8.976,0.129,4.95
95,8.392,-0.129,4.5
103,7.88,-0.641,4.347
113,7.688,-0.766,4.289
127,8.239,-0.737,4.471
138,8.646,-0.373,4.763
148,8.938,-0.23,4.893
159,8.847,-0.225,4.936
173,8.78,-0.412,4.921
184,8.785,-0.268,4.869
194,8.67,-0.579,4.73
205,8.651,-0.551,4.778
215,8.742,-0.79,4.725
226,8.785,-0.761,4.782
240,8.804,-0.819,4.768
249,8.923,-0.709,4.869
255,9.225,-0.498,4.974
267,9.369,-0.536,5.07
277,9.072,-0.527,4.936
289,8.603,-0.278,4.73
298,8.292,-0.306,4.596
311,8.196,-0.311,4.519
322,8.296,-0.546,4.61
335,8.416,-0.594,4.601
347,8.459,-0.421,4.706
355,8.703,-0.359,4.739
362,9.158,-0.311,4.888
373,9.397,-0.215,4.979
386,9.091,-0.105,4.873
394,8.698,-0.33,4.653
403,8.43,-0.57,4.61
414,8.287,-0.866,4.462
427,8.406,-1.068,4.524
439,8.78,-0.766,4.763
449,9.029,-0.641,4.897
458,9.306,-0.589,5.031
473,9.311,-0.33,4.974
484,8.971,-0.259,4.768
494,8.564,-0.522,4.543
505,8.244,-0.431,4.514
516,8.091,-0.876,4.49
525,8.1,-0.608,4.672
535,8.608,-0.656,4.821
546,9.091,-0.196,5.137
560,9.474,-0.096,5.199
571,9.522,-0.091,5.118
580,9.201,-0.34,4.888
591,8.196,-0.632,4.51
602,7.77,-0.656,4.285
615,7.866,-0.833,4.265
626,8.359,-0.598,4.773
637,8.943,-0.45,4.816
647,8.923,-0.402,4.95
660,8.962,-0.589,4.931
671,9.043,-0.584,4.893
677,8.986,-0.388,4.859
689,8.761,-0.364,4.73
699,8.493,-0.445,4.634
714,8.268,-0.728,4.505
724,8.124,-0.407,4.486
734,8.292,-0.297,4.548
