time,x,y,z
17,-0.071,-0.173,0.009
28,-0.07,-0.203,0.073
38,-0.029,-0.188,0.071
48,0.072,-0.126,0.021
59,0.104,0.034,-0.065
74,0.108,0.13,-0.088
84,-0.29,0.121,-0.04
95,-0.068,0.043,0.066
103,-0.098,-0.035,0.143
113,-0.101,-0.134,0.155
127,-0.043,-0.187,0.082
138,0.023,-0.156,-0.028
148,0.042,-0.109,-0.073
159,0.021,-0.071,-0.071
173,-0.004,-0.046,-0.032
184,-0.046,-0.05,-0.031
194,-0.037,-0.083,-0.017
205,-0.039,-0.114,-0.013
215,-0.048,-0.125,0.024
226,-0.04,-0.131,0.079
240,-0.038,-0.12,0.094
249,0.0,-0.087,0.057
255,0.013,-0.055,0.029
267,0.034,0.04,-0.034
277,0.071,0.089,-0.054
289,0.06,0.066,-0.066
298,0.021,0.02,-0.046
311,-0.018,-0.056,-0.002
322,-0.046,-0.088,0.028
335,-0.037,-0.111,0.054
347,-0.042,-0.128,0.031
355,-0.029,-0.121,0.0
362,-0.017,-0.078,-0.037
373,0.01,0.002,-0.083
386,-0.006,0.05,-0.098
394,-0.032,0.035,-0.086
403,-0.05,0.018,-0.073
414,-0.038,-0.021,-0.056
427,-0.006,-0.086,-0.015
439,-0.001,-0.099,0.031
449,-0.031,-0.083,0.071
458,-0.035,-0.02,0.097
473,-0.033,0.057,0.082
484,-0.026,0.089,-0.015
494,0.021,0.057,-0.078
505,0.034,0.007,-0.097
516,0.055,-0.054,-0.053
525,0.049,-0.09,-0.023
535,0.044,-0.123,0.015
546,0.02,-0.101,0.027
560,-0.011,-0.002,0.037
571,-0.046,0.093,0.039
580,-0.055,0.143,0.024
591,-0.02,0.12,-0.018
602,0.031,0.024,-0.077
615,0.071,-0.111,-0.114
626,0.067,-0.148,-0.05
637,-0.002,-0.12,0.081
647,-0.066,-0.092,0.131
660,-0.071,-0.039,0.088
671,0.034,0.034,-0.011
677,0.059,0.056,-0.086
689,0.09,0.055,-0.123
699,0.062,0.031,-0.072
714,0.037,0.001,0.068
724,-0.005,-0.079,0.09
734,-0.026,-0.112,0.083
745,-0.01,-0.111,0.046
759,-0.018,-0.077,-0.312
