time,x,y,z
17,8.742,-0.618,3.959
27,9.163,-0.464,4.021
37,9.273,-0.254,4.017
48,9.134,-0.45,4.055
59,9.105,-0.871,4.045
74,9.35,-0.689,4.222
81,9.326,-0.618,4.208
91,8.856,-0.598,3.882
104,8.454,-0.397,3.825
111,8.311,-0.292,3.902
122,8.497,-0.426,3.95
136,8.756,-0.503,4.017
145,9.0,-0.369,4.165
161,9.57,-0.349,4.299
171,9.627,-0.464,4.385
183,9.177,-0.383,4.136
193,8.675,-0.311,3.887
203,8.363,-0.416,3.792
218,8.665,-0.412,3.825
226,8.967,-0.622,3.887
238,9.163,-0.833,4.05
249,9.254,-0.704,4.146
259,9.283,-0.929,4.155
268,9.431,-0.598,4.218
284,9.584,-0.474,4.242
295,9.321,-0.268,4.084
305,8.694,-0.158,3.839
314,8.292,-0.168,3.777
325,8.416,-0.613,3.792
335,8.789,-0.608,3.887
349,9.407,-0.23,4.151
360,9.833,-0.383,4.304
371,9.876,-0.689,4.256
381,9.33,-0.723,4.17
391,8.775,-0.574,3.844
405,8.421,-0.579,3.662
415,8.421,-0.594,3.662
424,8.737,-0.503,3.844
435,8.923,-0.551,4.017
445,9.014,-0.412,4.055
460,9.105,-0.306,4.184
466,9.105,-0.555,4.045
480,9.134,-0.292,4.021
491,9.053,-0.263,3.945
500,8.746,-0.311,3.892
511,8.368,-0.709,3.71
522,8.507,-0.46,3.863
530,8.78,-0.488,3.868
541,9.192,-0.359,4.069
556,9.474,-0.33,4.165
564,9.239,-0.091,4.155
571,8.962,0.215,4.117
585,8.512,-0.354,3.93
594,8.359,-0.512,3.758
608,8.627,-0.369,3.825
618,9.201,-0.378,4.021
628,9.364,-0.809,4.117
638,9.34,-0.91,4.017
653,9.326,-0.742,4.064
662,9.637,-0.388,4.194
673,9.823,-0.139,4.218
683,9.541,-0.464,4.04
694,8.976,-0.44,3.854
705,8.555,-0.541,3.763
718,8.316,-0.713,3.61
732,8.694,-0.163,3.83
743,9.081,-0.077,4.079
753,9.498,-0.148,4.218
762,9.579,-0.024,4.352
773,9.546,-0.421,4.342
787,8.962,-0.292,4.04
796,8.689,-0.163,3.887
806,8.66,-0.34,3.715
814,8.402,-0.364,3.739
824,8.263,-0.713,3.729
838,8.397,-0.737,3.686
846,8.718,-0.431,3.863
856,9.34,-0.378,4.06
867,9.67,-0.254,4.289
880,9.809,-0.206,4.371
888,9.335,-0.426,4.079
901,8.737,-0.608,3.935
911,8.593,-0.627,3.887
922,8.742,-0.474,3.868
930,8.871,-0.349,3.863
