time,x,y,z
17,0.048,-0.143,0.007
27,0.029,-0.106,0.035
37,-0.016,-0.073,0.05
48,-0.039,-0.039,0.033
59,-0.021,0.012,0.009
74,0.042,0.109,-0.06
81,0.062,0.134,-0.098
91,0.115,0.089,-0.125
104,0.111,-0.023,-0.092
111,0.05,-0.081,-0.037
122,-0.009,-0.125,0.045
136,-0.018,-0.136,0.068
145,-0.013,-0.126,0.035
161,-0.007,-0.065,-0.024
171,0.007,0.04,0.0
183,-0.016,0.051,0.009
193,-0.02,0.002,-0.023
203,-0.021,-0.071,-0.06
218,-0.02,-0.117,-0.079
226,-0.029,-0.134,-0.064
238,-0.022,-0.111,0.012
249,-0.033,-0.083,0.037
259,-0.022,-0.055,0.032
268,0.035,-0.021,-0.016
284,0.056,0.044,-0.064
295,0.073,0.061,-0.072
305,0.01,0.0,-0.033
314,-0.033,-0.062,0.007
325,-0.057,-0.127,0.032
335,-0.029,-0.144,0.002
349,-0.029,-0.099,-0.108
360,-0.02,-0.024,-0.125
371,-0.001,0.048,-0.054
381,0.016,0.104,0.01
391,0.013,0.109,0.051
405,0.031,0.015,-0.002
415,0.07,-0.049,-0.045
424,0.067,-0.076,-0.04
435,0.037,-0.076,0.017
445,0.0,-0.073,0.082
460,-0.048,-0.057,0.086
466,-0.009,-0.034,0.056
480,0.028,-0.021,-0.022
491,0.038,0.007,-0.043
500,0.032,-0.004,-0.032
511,0.042,-0.065,0.027
522,0.015,-0.109,0.082
530,0.01,-0.133,0.099
541,0.02,-0.11,0.098
556,0.034,-0.038,0.101
564,0.029,0.034,0.098
571,-0.009,0.049,0.07
585,-0.028,-0.002,-0.049
594,0.012,-0.068,-0.095
608,0.023,-0.153,-0.098
618,-0.035,-0.177,-0.038
628,-0.062,-0.139,0.042
638,-0.029,-0.114,0.095
653,0.001,-0.083,0.093
662,0.027,-0.054,0.042
673,0.001,0.04,-0.022
683,0.021,0.051,-0.028
694,0.005,0.033,0.002
705,-0.01,-0.02,0.042
718,0.053,-0.123,0.056
732,0.054,-0.161,0.029
743,0.029,-0.145,0.013
753,0.011,-0.045,0.021
762,-0.018,0.012,0.004
773,-0.028,0.12,-0.007
787,-0.002,0.115,-0.021
796,-0.02,0.068,-0.037
806,-0.039,-0.005,-0.009
814,-0.064,-0.061,0.017
824,-0.068,-0.112,0.061
838,-0.038,-0.161,0.077
846,-0.035,-0.182,0.062
