time,x,y,z
18,-5.084,-1.948,-8.196
29,-5.031,-2.298,-8.11
39,-5.065,-2.26,-8.153
50,-5.036,-2.082,-8.162
66,-5.007,-1.934,-8.258
75,-5.036,-1.848,-8.354
86,-5.103,-1.915,-8.349
94,-5.051,-1.987,-8.383
105,-5.075,-1.972,-8.397
115,-5.103,-1.92,-8.411
130,-5.185,-1.929,-8.483
141,-5.266,-2.26,-8.368
151,-5.06,-2.054,-8.282
162,-5.027,-1.676,-8.253
177,-4.979,-1.685,-8.162
184,-4.964,-1.958,-8.11
192,-5.075,-2.231,-8.129
208,-5.122,-2.346,-8.167
218,-5.127,-2.193,-8.244
227,-5.089,-1.963,-8.248
239,-4.998,-1.896,-8.21
250,-4.907,-1.877,-8.143
260,-4.907,-1.767,-8.186
274,-5.017,-1.771,-8.244
285,-5.017,-1.929,-8.234
295,-5.041,-1.963,-8.229
301,-5.108,-1.987,-8.244
315,-5.132,-2.063,-8.248
327,-5.137,-2.13,-8.205
337,-5.146,-2.183,-8.158
347,-5.055,-2.068,-8.158
358,-5.031,-1.939,-8.181
372,-4.974,-1.886,-8.191
383,-4.931,-1.877,-8.167
392,-4.945,-1.857,-8.172
404,-4.955,-1.982,-8.21
412,-5.003,-2.082,-8.191
422,-5.055,-2.183,-8.22
438,-5.031,-2.202,-8.234
449,-5.098,-2.159,-8.383
456,-5.261,-2.102,-8.469
467,-5.223,-2.068,-8.488
477,-5.204,-2.092,-8.411
493,-5.094,-2.183,-8.143
502,-4.979,-2.264,-8.047
512,-4.984,-2.193,-8.134
523,-5.113,-1.905,-8.344
534,-5.161,-1.953,-8.383
548,-5.041,-2.035,-8.359
559,-5.065,-1.934,-8.292
570,-5.046,-1.862,-8.162
587,-4.96,-2.015,-8.105
597,-5.079,-1.992,-8.215
608,-5.185,-2.078,-8.32
618,-5.232,-2.121,-8.397
627,-5.165,-1.92,-8.33
637,-5.055,-1.757,-8.244
653,-5.003,-1.743,-8.191
663,-4.96,-1.867,-8.091
674,-5.094,-2.03,-8.191
685,-5.161,-2.102,-8.311
695,-5.218,-2.03,-8.387
706,-5.199,-1.977,-8.359
715,-5.146,-2.03,-8.263
724,-5.089,-2.015,-8.248
740,-5.161,-1.929,-8.272
750,-5.151,-1.948,-8.22
761,-5.046,-1.977,-8.148
769,-5.046,-1.948,-8.114
780,-5.055,-2.059,-8.11
795,-5.132,-2.111,-8.186
806,-5.256,-2.082,-8.339
812,-5.29,-2.102,-8.344
824,-5.151,-2.044,-8.234
835,-5.065,-1.915,-8.153
849,-4.993,-1.91,-8.114
859,-5.012,-2.025,-8.1
870,-5.007,-2.078,-8.148
881,-5.094,-1.891,-8.272
897,-5.185,-1.92,-8.33
904,-5.156,-1.972,-8.311
916,-5.137,-1.948,-8.201
927,-5.122,-2.049,-8.105
943,-5.065,-2.126,-8.067
953,-5.113,-2.044,-8.105
965,-5.18,-2.183,-8.076
974,-5.055,-2.255,-8.019
