time,x,y,z
18,0.087,-0.015,-0.004
29,0.05,-0.035,-0.011
39,-0.004,-0.05,-0.002
50,-0.027,-0.053,-0.005
66,-0.037,-0.057,0.007
75,-0.016,-0.054,0.018
86,-0.002,-0.044,0.023
94,-0.013,-0.05,0.026
105,0.001,-0.057,0.011
115,0.029,-0.049,-0.005
130,0.067,-0.026,-0.01
141,0.032,0.022,-0.033
151,-0.108,0.016,0.04
162,-0.1,0.002,0.045
177,0.013,-0.005,0.017
184,0.082,-0.043,0.005
192,0.071,-0.043,-0.004
208,0.029,-0.034,-0.016
218,-0.029,-0.018,-0.006
227,-0.013,-0.007,-0.011
239,0.011,-0.006,-0.013
250,-0.004,-0.023,-0.005
260,-0.017,-0.04,0.015
274,-0.004,-0.034,0.038
285,-0.013,-0.033,0.05
295,-0.024,-0.043,0.055
301,0.002,-0.045,0.034
315,0.038,-0.037,0.001
327,0.037,-0.021,-0.01
337,0.005,-0.005,0.002
347,-0.034,-0.007,0.016
358,-0.056,-0.015,0.037
372,-0.029,-0.023,0.02
383,-0.005,-0.042,0.021
392,0.027,-0.045,0.021
404,0.035,-0.049,0.027
412,0.007,-0.056,0.048
422,-0.021,-0.055,0.055
438,-0.045,-0.056,0.045
449,-0.053,-0.067,0.035
456,-0.015,-0.05,0.001
467,0.022,-0.026,-0.007
477,0.04,0.0,-0.013
493,0.033,0.009,-0.004
502,-0.005,-0.032,0.002
512,-0.066,-0.044,0.021
523,-0.048,-0.034,0.026
534,-0.007,-0.013,0.009
548,-0.005,-0.017,-0.005
559,-0.013,-0.017,0.01
570,0.02,-0.016,-0.0
587,0.007,-0.04,0.01
597,-0.004,-0.054,0.016
608,-0.021,-0.034,0.012
618,-0.072,-0.013,0.024
627,-0.065,-0.002,0.006
637,-0.005,-0.004,-0.011
653,0.051,-0.017,-0.021
663,0.06,-0.039,-0.001
674,0.029,-0.035,0.01
685,-0.05,-0.021,0.035
695,-0.066,0.001,0.034
706,-0.002,0.001,0.007
715,0.029,-0.011,-0.022
724,0.035,-0.032,-0.031
740,0.048,-0.029,-0.035
750,0.049,-0.021,-0.029
761,0.02,-0.029,-0.004
769,0.009,-0.031,0.015
780,-0.0,-0.049,0.016
795,-0.023,-0.05,0.017
806,-0.016,-0.02,0.002
812,-0.01,0.005,-0.006
824,-0.015,0.007,-0.012
835,0.004,-0.005,-0.027
849,0.046,-0.018,-0.027
859,0.027,-0.027,-0.012
870,-0.051,-0.04,0.017
881,-0.057,-0.045,0.016
897,0.303,-0.026,-0.001
904,0.017,-0.007,-0.023
916,0.044,-0.007,-0.021
927,0.061,-0.006,-0.039
943,0.013,-0.01,-0.017
953,-0.02,-0.016,0.013
965,-0.037,0.007,-0.007
974,-0.095,-0.005,-0.002
985,-0.089,-0.032,-0.002
995,-0.012,-0.049,-0.033
1005,0.022,-0.056,-0.021
1020,0.034,-0.059,-0.002
1031,0.045,-0.02,0.01
1038,-0.015,0.006,0.02
1049,-0.132,0.015,0.038
1060,-0.111,0.015,0.024
1074,0.021,-0.001,-0.029
1082,0.073,-0.028,-0.043
1096,0.07,-0.039,-0.028
1107,0.043,-0.031,-0.009
1116,0.001,-0.029,0.009
1133,-0.075,-0.031,0.038
1144,-0.076,-0.032,0.026
1154,-0.026,-0.028,0.001
1165,0.05,-0.021,-0.023
