time,x,y,z
18,3.567,-0.996,9.302
28,3.677,-1.044,9.292
39,3.753,-1.202,9.206
49,3.677,-1.293,9.048
60,3.437,-1.355,8.837
75,3.600,-1.436,8.794
86,3.624,-1.412,8.880
93,3.629,-1.355,8.952
104,3.701,-1.317,9.053
114,3.763,-1.144,9.187
129,3.892,-1.020,9.230
139,3.806,-0.938,9.259
149,3.859,-0.886,9.201
160,3.820,-0.943,9.230
176,3.863,-1.115,9.239
183,3.820,-1.302,9.177
195,3.681,-1.029,8.995
206,3.567,-0.694,8.976
222,3.672,-0.641,8.967
232,3.634,-0.981,9.010
242,3.801,-1.369,8.976
249,3.815,-1.474,9.014
259,3.964,-1.393,9.153
271,3.892,-1.063,9.211
284,3.681,-0.656,9.096
299,3.423,-0.637,8.756
310,3.222,-0.570,8.622
316,3.456,-0.507,8.761
325,3.739,-0.742,9.029
341,3.973,-1.211,9.172
351,4.040,-1.441,9.196
362,3.897,-1.513,9.072
373,3.547,-1.115,9.024
383,3.533,-0.594,9.077
394,3.413,-0.646,8.981
410,3.567,-0.919,9.101
421,3.859,-1.034,9.230
431,3.629,-1.087,9.139
442,3.394,-1.063,8.895
452,3.389,-0.924,8.914
462,3.509,-1.101,8.967
477,3.629,-1.317,9.010
487,3.634,-1.556,9.048
495,3.897,-1.704,9.225
505,4.055,-1.886,9.397
519,3.782,-1.881,9.330
530,3.337,-1.762,9.172
541,3.174,-1.767,9.043
549,3.404,-1.489,9.364
559,3.313,-0.771,9.488
576,3.619,-0.656,9.833
586,3.744,-1.230,9.785
597,3.274,-1.398,9.637
608,2.987,-1.211,9.493
618,2.662,-0.886,9.206
630,2.681,-0.890,9.211
644,2.872,-1.091,9.517
655,2.925,-1.235,9.541
665,2.537,-1.259,9.330
676,2.173,-1.029,9.053
690,1.939,-0.752,8.967
701,1.910,-0.488,9.010
712,2.126,-0.412,9.263
722,2.188,-0.493,9.326
729,2.260,-0.804,9.326
744,2.556,-1.302,9.436
755,2.791,-1.364,9.656
766,2.796,-1.087,9.579
774,2.757,-1.192,9.436
785,2.475,-1.427,9.110
800,2.312,-1.470,8.933
811,2.604,-1.403,9.077
818,3.059,-1.254,9.699
831,3.361,-1.058,10.029
842,3.274,-1.139,10.034
852,2.911,-1.407,9.766
859,2.643,-1.187,9.637
870,2.504,-0.991,9.417
886,2.638,-1.211,9.105
896,1.192,-2.437,9.072
904,2.087,-1.709,8.861
915,2.054,-1.144,9.148
926,2.303,-1.355,9.330
942,2.130,-1.269,9.460
949,1.977,-1.345,9.436
961,2.039,-1.733,9.192
978,1.992,-2.274,9.340
989,2.293,-2.250,9.359
997,2.365,-1.910,9.508
1008,2.312,-1.901,9.168
1020,2.102,-1.479,9.378
1034,2.662,-1.297,9.756
1042,3.188,-1.958,10.297
1049,2.930,-2.087,10.226
1060,2.523,-1.857,9.766
1076,2.087,-1.733,9.445
1082,1.867,-1.489,9.330
1094,1.829,-1.446,9.407
1105,1.982,-1.704,9.335
1119,1.771,-1.585,9.283
1131,1.738,-1.388,9.091
1142,1.613,-1.135,8.991
1152,1.647,-1.101,9.302
1162,2.346,-1.743,9.273
1176,2.532,-2.015,9.594
1185,2.571,-1.709,9.867
1193,2.542,-1.680,9.886
1203,2.394,-1.235,9.857
1216,2.154,-0.689,9.871
1228,1.910,-0.378,9.570
1239,1.589,-0.704,9.646
1253,1.565,-0.929,9.426
1264,1.288,-0.823,9.239
1274,1.317,-0.862,9.230
1284,1.321,-1.163,9.158
1296,1.211,-1.264,9.101
1307,1.173,-1.321,9.192
1319,1.518,-1.264,9.469
