time,x,y,z
18,0.119,-0.142,-0.042
28,0.059,-0.143,-0.042
39,-0.012,-0.131,0.009
49,-0.011,-0.150,0.002
60,0.037,-0.193,-0.018
75,0.100,-0.182,-0.018
86,0.136,-0.167,-0.005
93,0.175,-0.154,-0.001
104,0.232,-0.153,-0.023
114,0.242,-0.143,-0.021
129,0.224,-0.081,-0.010
139,0.110,-0.061,0.018
149,0.061,-0.050,0.026
160,0.010,-0.032,0.029
176,-0.012,-0.002,0.040
183,0.032,0.021,0.049
195,0.180,-0.002,0.012
206,0.155,-0.044,-0.018
222,0.033,-0.055,0.012
232,-0.034,-0.070,0.022
242,0.044,-0.018,0.012
249,0.151,0.023,-0.002
259,0.276,0.083,-0.020
271,0.342,0.156,-0.018
284,0.277,0.155,0.054
299,0.103,0.104,0.103
310,-0.015,-0.054,0.084
316,-0.073,-0.067,0.087
325,-0.171,-0.045,0.100
341,-0.188,0.000,0.175
351,-0.070,0.109,0.195
362,0.109,0.156,0.215
373,0.211,0.144,0.209
383,0.166,0.149,0.227
394,0.037,0.110,0.250
410,-0.053,0.089,0.280
421,-0.081,0.142,0.266
431,-0.022,0.133,0.216
442,-0.021,0.112,0.172
452,-0.059,0.109,0.148
462,-0.079,0.095,0.143
477,-0.092,0.097,0.138
487,-0.083,0.120,0.170
495,-0.032,0.184,0.181
505,0.039,0.299,0.217
519,0.149,0.407,0.259
530,0.167,0.342,0.323
541,0.270,0.292,0.288
549,0.335,0.310,0.301
559,0.290,0.307,0.324
576,0.059,0.387,0.348
586,-0.054,0.494,0.414
597,-0.004,0.525,0.440
608,0.037,0.494,0.442
618,-0.006,0.415,0.401
630,-0.073,0.376,0.358
644,-0.038,0.421,0.320
655,-0.090,0.428,0.376
665,-0.078,0.390,0.404
676,-0.050,0.264,0.385
690,-0.011,0.150,0.288
701,-0.039,0.022,0.177
712,-0.105,0.010,0.108
722,-0.169,-0.042,0.094
729,-0.209,-0.089,0.093
744,-0.219,-0.100,0.136
755,-0.075,0.009,0.143
766,-0.095,0.068,0.164
774,-0.119,0.092,0.169
785,-0.084,0.076,0.170
800,-0.015,-0.021,0.153
811,0.021,-0.038,0.132
818,0.098,0.042,0.109
831,0.082,0.158,0.127
842,0.033,0.393,0.188
852,0.059,0.452,0.226
859,-0.016,0.432,0.260
870,-0.233,0.509,0.277
886,-0.219,0.597,0.379
896,-0.277,0.184,0.312
904,0.219,0.090,0.005
915,-0.002,0.045,0.053
926,-0.068,0.070,0.031
942,-0.093,0.126,-0.053
949,-0.173,0.064,-0.094
961,-0.315,-0.044,0.033
978,-0.142,-0.130,0.076
989,0.037,-0.093,0.093
997,0.066,-0.062,0.108
1008,0.111,-0.095,0.110
1020,0.126,-0.115,0.097
1034,0.015,-0.038,0.072
1042,0.159,0.292,0.125
1049,0.241,0.387,0.202
1060,0.164,0.409,0.478
1076,0.206,0.452,0.346
1082,0.171,0.403,0.349
1094,0.090,0.266,0.305
1105,0.097,0.224,0.304
1119,0.125,0.130,0.257
1131,0.089,-0.002,0.203
