time,x,y,z
18,-3.126,-1.987,8.971
29,-3.552,-2.030,8.344
39,-3.892,-2.499,8.004
50,-3.423,-2.599,8.555
60,-3.456,-2.403,8.694
74,-3.567,-2.681,8.177
85,-3.988,-2.126,7.985
95,-4.031,-2.011,7.794
111,-4.050,-2.078,7.669
121,-3.753,-2.413,7.904
133,-3.351,-2.427,8.397
143,-3.011,-2.236,9.048
154,-3.049,-2.102,9.000
163,-3.107,-2.394,9.034
174,-3.322,-3.021,8.636
190,-3.859,-2.432,8.373
201,-4.160,-2.097,7.889
211,-4.246,-2.322,7.631
218,-4.270,-2.422,7.487
229,-4.050,-2.078,7.751
246,-3.725,-2.255,8.028
256,-3.456,-2.264,8.421
265,-3.145,-2.327,8.766
276,-3.227,-2.465,8.698
287,-3.514,-2.087,8.483
298,-4.050,-1.915,7.913
312,-4.658,-1.857,7.200
323,-5.323,-1.570,6.405
333,-6.080,-0.699,5.797
344,-6.075,0.115,5.429
353,-5.060,0.330,5.534
359,-4.294,-0.263,5.659
374,-2.729,-1.015,6.520
385,-1.115,-1.915,7.095
395,0.412,-2.781,8.023
407,1.331,-2.762,8.737
417,0.694,-2.485,8.564
428,0.910,-2.858,8.124
437,1.154,-2.743,8.004
453,2.073,-3.045,8.282
462,3.466,-5.879,9.340
473,4.385,-6.942,9.661
484,4.725,-7.502,10.556
492,5.108,-6.075,11.130
508,4.711,-5.031,11.413
517,4.390,-4.806,10.858
528,4.141,-4.361,10.312
538,4.084,-3.409,9.900
549,3.432,-3.940,9.048
558,3.308,-4.486,8.292
574,3.346,-4.409,8.234
584,3.523,-4.194,8.459
595,3.825,-4.438,8.651
605,4.170,-4.778,8.967
614,4.692,-5.323,9.158
626,4.960,-5.084,9.421
635,4.950,-4.117,9.666
645,4.907,-3.480,9.704
661,4.787,-3.337,9.364
668,4.519,-3.552,8.967
679,4.404,-3.973,8.469
685,4.246,-4.390,8.239
701,4.184,-4.505,8.239
711,4.194,-4.720,8.191
721,4.261,-4.672,8.296
733,4.275,-3.859,8.397
743,4.256,-3.624,8.335
754,4.198,-3.629,8.229
768,4.160,-3.897,8.043
779,4.117,-4.098,7.727
789,3.978,-3.997,7.770
800,3.973,-3.887,7.894
