time,x,y,z
18,0.400,0.709,0.742
29,0.189,0.585,0.672
39,0.176,0.448,0.541
50,0.208,0.423,0.528
60,0.000,0.462,0.434
74,0.088,0.505,0.397
85,0.189,0.386,0.376
95,0.075,0.233,0.341
111,0.051,0.071,0.277
121,0.054,-0.064,0.227
133,0.200,-0.104,0.222
143,0.160,-0.006,0.189
154,0.131,0.090,0.097
163,-0.043,0.083,0.252
174,-0.013,0.183,0.100
190,0.094,0.166,0.013
201,-0.005,0.002,0.077
211,-0.018,-0.110,-0.089
218,0.090,-0.214,-0.143
229,0.071,-0.386,-0.195
246,0.012,-0.463,-0.209
256,-0.026,-0.478,-0.208
265,-0.114,-0.391,-0.208
276,-0.126,-0.341,-0.237
287,-0.130,-0.345,-0.308
298,-0.109,-0.417,-0.447
312,-0.056,-0.593,-0.637
323,0.053,-1.090,-0.889
333,0.097,-1.671,-1.211
344,-0.301,-2.156,-1.597
353,-0.242,-2.496,-1.878
359,-0.342,-2.821,-2.104
374,-0.453,-3.228,-2.534
385,-0.569,-3.486,-2.511
395,-0.502,-3.233,-2.366
407,-0.386,-2.794,-2.336
417,-0.469,-2.757,-2.503
428,-0.525,-2.805,-2.586
437,-0.531,-2.882,-2.726
453,-0.792,-3.058,-2.794
462,-1.252,-2.949,-2.591
473,-0.806,-2.707,-2.111
484,-0.199,-2.316,-1.570
492,-0.073,-1.934,-1.167
508,-0.235,-1.324,-0.972
517,-0.294,-0.886,-0.948
528,-0.249,-0.715,-0.845
538,-0.547,-0.608,-0.776
549,-0.648,-0.584,-0.932
558,-0.489,-0.632,-0.904
574,-0.219,-0.699,-0.905
584,-0.169,-0.731,-0.920
595,-0.101,-0.740,-0.913
605,-0.092,-0.738,-0.864
614,-0.050,-0.699,-0.674
626,0.087,-0.562,-0.384
635,-0.040,-0.419,-0.261
645,-0.309,-0.268,-0.158
661,-0.553,-0.155,-0.100
668,-0.688,-0.088,-0.122
679,-0.678,-0.084,-0.161
685,-0.544,-0.090,-0.197
701,-0.352,-0.105,-0.250
711,-0.104,-0.099,-0.246
721,0.191,-0.049,-0.208
733,0.202,0.005,-0.160
743,0.128,0.051,-0.147
754,-0.032,0.062,-0.115
768,-0.106,0.042,-0.073
779,-0.086,0.011,-0.062
789,-0.101,-0.046,-0.048
800,-0.097,-0.071,-0.053
816,-0.140,-0.065,-0.059
826,-0.155,-0.062,-0.075
836,-0.167,-0.046,-0.067
846,-0.095,-0.015,-0.064
853,0.011,-0.004,-0.066
863,0.062,0.005,-0.059
873,-0.013,-0.012,-0.068
889,-0.093,-0.033,-0.110
900,-0.064,-0.061,-0.105
911,-0.051,-0.077,-0.097
921,-0.054,-0.097,-0.117
931,-0.072,-0.106,-0.126
940,-0.061,-0.109,-0.104
954,-0.044,-0.106,-0.049
965,-0.068,0.001,0.029
976,-0.144,0.099,0.075
984,-0.178,0.070,0.060
995,-0.138,0.046,0.038
1011,-0.186,-0.054,-0.005
1021,-0.236,-0.121,-0.066
1030,-0.279,-0.187,-0.144
1041,-0.176,-0.193,-0.195
1052,-0.017,-0.150,-0.187
1063,0.150,-0.020,-0.133
1074,0.347,0.023,-0.075
1086,0.120,0.079,-0.055
1097,-0.016,0.061,-0.064
1113,-0.116,-0.007,-0.037
1124,-0.138,-0.073,-0.023
1135,-0.098,-0.086,-0.009
1145,-0.094,-0.064,-0.010
1156,-0.055,-0.050,-0.017
1165,-0.038,-0.059,-0.022
1182,-0.033,-0.064,-0.027
1192,0.000,-0.044,-0.027
1203,-0.002,-0.012,-0.006
1210,-0.004,0.004,0.005
1221,0.017,0.027,0.016
1238,0.022,0.064,0.051
1245,0.053,0.067,0.056
1255,0.051,0.059,0.046
1269,-0.027,0.048,0.031
1280,-0.032,0.011,0.033
1289,0.043,-0.026,0.031
1300,-0.006,-0.054,-0.002
1310,-0.013,-0.066,-0.013
1326,0.034,-0.060,-0.001
1336,0.054,-0.043,-0.006
1344,0.046,-0.029,-0.020
1357,0.016,-0.029,-0.034
1368,-0.020,-0.034,-0.022
1378,-0.029,-0.010,0.010
1388,-0.038,-0.009,0.017
1398,-0.028,-0.024,0.000
1409,-0.024,-0.045,-0.010
1425,0.026,-0.068,-0.006
1431,0.097,-0.082,0.007
1444,0.092,-0.065,0.010
1461,0.031,-0.040,-0.021
1471,0.023,-0.018,-0.032
1479,0.026,0.006,-0.009
1491,0.051,0.013,0.005
1502,0.006,0.023,0.018
1516,-0.026,0.042,0.031
1527,-0.076,0.031,0.021
1538,-0.064,0.017,0.018
1548,-0.038,0.013,0.009
1559,-0.033,0.018,-0.026
1570,-0.002,0.015,-0.059
1584,0.022,0.004,-0.099
1595,0.002,-0.001,-0.122
1605,0.037,0.004,-0.100
1614,0.061,0.032,-0.060
1625,0.045,0.070,-0.057
1635,0.026,0.084,-0.100
1649,0.016,0.087,-0.137
1657,0.011,0.066,-0.128
1669,0.046,0.033,-0.133
1684,0.022,0.018,-0.151
1695,-0.023,0.029,-0.186
1703,-0.016,0.042,-0.202
1713,-0.012,0.060,-0.216
1723,0.013,0.073,-0.228
1737,0.033,0.066,-0.263
1745,-0.006,0.054,-0.291
1759,-0.158,0.001,-0.528
1770,-0.140,0.120,-0.552
1780,-0.106,0.072,-0.465
1791,-0.156,0.066,-0.626
1801,-0.166,0.065,-0.751
1817,-0.043,0.109,-1.064
1828,0.064,0.198,-1.192
1838,0.353,0.155,-1.261
1848,0.392,0.089,-1.317
1859,0.376,-0.035,-1.223
1869,0.293,-0.236,-1.001
1881,0.090,-0.304,-0.955
1894,-0.292,-0.187,-0.965
1910,-0.552,-0.114,-0.943
1920,-0.682,-0.023,-1.004
1927,-0.713,0.131,-1.052
1939,-0.544,0.259,-1.070
1950,-0.286,0.335,-1.092
1966,-0.123,0.404,-1.130
1973,-0.112,0.440,-1.145
1984,-0.232,0.457,-1.229
1995,-0.452,0.454,-1.244
2011,-0.661,0.483,-1.230
2022,-0.811,0.679,-1.186
2033,-0.828,0.784,-1.161
2042,-0.867,0.833,-1.186
2053,-0.850,0.828,-1.291
2064,-0.841,0.847,-1.409
2076,-0.685,0.880,-1.664
2087,-0.358,0.938,-1.706
2098,-0.233,0.977,-1.692
2108,-0.342,1.128,-1.685
2118,-0.618,1.299,-1.604
2129,-0.859,1.451,-1.301
2144,-0.991,1.605,-1.339
2152,-1.310,1.867,-1.236
2164,-1.675,2.037,-1.208
2174,-1.687,2.090,-1.095
2191,-1.572,2.026,-1.141
2198,-1.616,1.950,-1.194
2210,-1.581,1.783,-1.315
2220,-1.497,1.572,-1.300
2236,-1.361,1.272,-1.317
2246,-1.295,0.872,-1.192
2257,-0.727,0.594,-1.125
2267,-0.182,0.407,-1.048
2278,-0.112,0.227,-0.975
2288,-0.305,0.132,-0.850
2303,-0.419,0.082,-0.776
2314,-0.235,0.061,-0.853
2325,-0.062,0.005,-0.825
2333,0.017,-0.061,-0.678
2344,0.114,-0.031,-0.409
2361,0.369,0.269,-0.072
2371,0.963,0.470,0.195
2378,1.018,0.464,0.156
2390,1.018,0.216,0.136
2400,0.988,0.462,0.393
2415,1.123,0.340,0.220
2424,0.921,0.191,0.215
2434,0.577,0.084,0.255
2444,0.459,-0.015,0.244
2460,0.398,-0.090,0.209
2467,0.126,-0.156,0.232
2475,-0.172,-0.230,0.173
2490,-0.249,-0.303,0.088
2501,-0.042,-0.484,-0.015
2511,0.148,-0.458,-0.169
2522,-0.131,-0.451,-0.253
2533,-0.496,-0.496,-0.236
2543,-0.573,-0.509,-0.220
2556,-0.635,-0.571,-0.219
2568,-0.624,-0.496,-0.078
2580,-0.359,-0.369,0.009
2594,-0.087,-0.379,-0.089
2605,-0.204,-0.429,-0.180
2615,-0.462,-0.446,-0.173
2626,-0.597,-0.484,-0.186
2637,-0.744,-0.497,-0.120
2652,-0.724,-0.447,0.070
2662,-0.352,-0.358,0.155
2673,0.005,-0.321,0.250
2683,0.225,-0.233,0.292
2695,0.320,-0.111,0.217
2704,0.147,0.039,0.162
2720,0.077,0.156,0.114
2730,0.026,0.189,0.120
2739,-0.082,0.156,0.123
2750,-0.035,0.066,0.130
2761,0.027,0.053,0.200
2770,0.093,0.050,0.285
2786,0.312,0.037,0.290
2797,0.374,0.029,0.298
2806,0.431,0.062,0.285
2812,0.486,0.038,0.236
2823,0.528,0.006,0.159
2837,0.459,0.021,0.082
2848,0.412,0.011,0.039
2916,0.131,0.144,0.182
2926,0.142,0.154,0.140
2942,0.193,0.122,0.105
2952,0.242,0.015,-0.086
2962,0.125,-0.139,-0.088
3026,0.828,-0.722,0.241
3036,0.706,-0.742,0.265
3046,0.560,-0.668,0.137
3061,0.352,-0.585,-0.101
3072,0.100,-0.419,-0.176
3081,0.073,-0.298,-0.213
3092,0.082,-0.193,-0.188
3103,0.057,-0.073,-0.166
3119,-0.011,0.077,-0.090
3129,0.022,0.249,0.023
3138,0.269,0.456,0.023
3146,0.354,0.509,0.011
3157,0.209,0.540,-0.022
3168,-0.178,0.626,-0.044
3183,-0.220,0.649,-0.018
3192,0.584,0.241,0.161
3204,1.085,0.114,0.301
3218,1.155,-0.050,0.110
3229,0.838,0.021,0.176
3238,0.517,0.035,0.098
3249,0.269,0.013,0.217
3263,0.123,-0.072,-0.038
3274,0.010,-0.199,-0.034
3282,-0.088,-0.206,-0.022
3293,-0.104,-0.208,-0.002
3308,-0.038,-0.215,-0.043
3319,0.181,-0.130,-0.082
3329,0.217,-0.086,-0.062
3340,0.171,-0.105,-0.076
3350,0.053,-0.115,-0.040
3366,-0.068,-0.090,0.040
3375,-0.092,-0.059,0.073
3386,-0.072,-0.049,0.077
3396,-0.159,-0.048,0.033
3407,-0.255,-0.026,0.037
3414,-0.264,-0.002,0.045
3427,-0.210,-0.310,0.002
3438,-0.160,-0.089,-0.033
3448,-0.095,-0.130,-0.077
3459,-0.121,-0.192,-0.108
3468,-0.167,-0.222,-0.122
3479,-0.205,-0.215,-0.123
3495,-0.186,-0.197,-0.078
3500,-0.116,-0.149,-0.022
3513,-0.108,-0.077,0.017
3527,-0.087,-0.042,0.039
3538,-0.017,0.098,0.178
3548,-0.087,-0.013,-0.088
3559,-0.140,-0.125,-0.051
3569,-0.150,-0.175,0.027
3584,-0.209,-0.178,-0.082
3595,-0.233,-0.171,-0.061
3605,-0.173,-0.101,-0.067
3616,-0.127,-0.084,-0.051
3626,-0.097,-0.059,-0.023
3638,-0.066,0.011,0.031
3647,-0.024,0.056,0.051
3657,0.021,0.101,0.075
3673,-0.046,0.077,-0.010
3680,-0.136,-0.005,0.040
3691,-0.105,-0.055,0.071
3702,-0.059,-0.109,0.016
3712,-0.018,-0.164,-0.007
3726,0.038,-0.039,0.099
3738,-0.077,-0.130,-0.001
3747,-0.145,-0.101,0.009
3758,-0.123,-0.024,0.024
3768,-0.039,0.016,-0.007
3782,0.054,0.028,-0.010
3793,0.164,0.183,0.106
3802,0.099,0.027,-0.110
3813,-0.009,-0.077,-0.004
3828,-0.065,-0.033,0.086
3838,-0.090,-0.031,0.042
3849,-0.035,-0.029,0.028
3858,0.018,0.011,0.000
3865,0.040,0.039,-0.034
3880,0.066,0.033,-0.055
3892,0.105,0.021,-0.045
3903,0.029,0.046,-0.081
3918,-0.054,-0.023,0.005
3928,-0.043,-0.018,0.001
3939,-0.046,-0.034,0.122
3949,-0.057,-0.062,-0.012
3960,-0.067,-0.084,0.009
3969,-0.032,-0.013,0.002
3980,0.006,0.035,-0.015
3995,0.043,0.056,-0.035
4004,0.065,0.066,-0.042
4014,0.051,0.037,-0.038
4024,-0.021,0.017,-0.023
4030,-0.061,0.007,-0.004
4045,-0.100,-0.005,0.005
4056,-0.089,-0.011,0.006
4066,-0.072,-0.020,-0.011
4075,-0.031,-0.021,0.002
4082,0.016,-0.013,0.016
4097,0.077,0.010,-0.002
4107,0.070,0.040,-0.001
4117,0.016,0.045,-0.016
4127,-0.044,0.046,-0.027
4135,-0.060,0.050,-0.023
4151,-0.029,0.020,-0.033
4161,-0.016,-0.023,-0.055
4172,-0.007,-0.051,-0.060
4183,-0.024,-0.082,-0.064
