time,x,y,z
17,6.501,-2.159,6.764
28,6.219,-1.834,6.583
35,6.061,-1.575,6.563
49,6.185,-1.34,6.597
61,6.468,-1.542,6.683
68,6.827,-2.015,6.913
79,7.171,-2.705,7.023
90,7.392,-2.437,7.238
104,7.286,-2.073,7.339
115,7.109,-1.958,7.08
125,6.64,-1.709,6.803
136,6.267,-1.719,6.41
149,5.84,-1.891,6.147
157,5.548,-1.877,6.056
168,5.592,-1.92,6.113
184,6.042,-2.059,6.405
193,6.769,-2.346,6.985
205,7.813,-2.288,7.693
215,8.239,-2.102,7.99
230,8.177,-1.972,7.846
240,7.554,-2.054,7.487
251,6.989,-2.499,6.673
259,6.425,-2.446,6.415
268,5.826,-2.236,6.219
282,5.702,-1.939,6.2
290,5.97,-1.307,6.587
300,6.334,-1.283,6.898
313,6.836,-1.522,7.32
321,7.186,-1.393,7.454
332,7.358,-1.556,7.435
346,7.358,-1.968,7.32
357,7.186,-2.408,7.1
365,7.076,-2.322,7.013
374,6.927,-2.279,6.889
389,6.769,-2.341,6.717
397,6.664,-2.097,6.683
408,6.573,-1.924,6.717
422,6.573,-1.939,6.736
433,6.673,-2.068,6.846
442,7.047,-2.106,7.004
453,7.214,-2.173,7.186
462,7.186,-2.231,7.104
477,6.985,-2.183,6.827
488,6.616,-2.164,6.616
496,6.31,-2.327,6.434
507,6.271,-2.26,6.453
516,6.276,-2.092,6.53
525,6.645,-2.102,6.693
539,6.875,-1.982,7.047
548,7.162,-1.924,7.186
560,7.281,-2.073,7.272
572,7.1,-2.116,7.234
583,6.889,-2.355,6.975
594,6.587,-2.351,6.63
605,6.195,-2.111,6.583
619,6.113,-1.824,6.53
630,6.247,-1.838,6.626
639,6.42,-2.092,6.808
650,6.927,-1.958,7.033
661,7.042,-1.939,7.152
674,7.047,-2.102,7.128
685,6.788,-2.303,6.908
695,6.621,-2.446,6.846
707,6.578,-2.422,6.855
718,6.659,-2.389,6.908
726,6.764,-2.087,7.013
737,6.903,-1.939,7.1
750,6.884,-1.934,7.076
761,6.827,-1.901,7.004
770,6.63,-1.939,6.793
780,6.606,-2.231,6.721
791,6.669,-2.212,6.817
805,6.745,-2.011,6.956
813,6.808,-1.814,7.028
820,6.75,-1.838,6.985
836,6.539,-2.078,6.798
844,6.477,-2.149,6.736
856,6.568,-2.26,6.779
870,6.764,-2.24,6.855
880,7.023,-2.092,7.085
890,7.147,-2.298,7.157
900,7.167,-2.389,7.123
914,7.071,-2.327,6.975
924,6.87,-2.489,6.812
935,6.492,-2.408,6.731
949,6.362,-2.001,6.74
960,6.53,-1.905,6.817
970,6.626,-1.915,7.013
978,6.894,-1.857,7.181
989,7.1,-1.69,7.219
1003,7.066,-1.642,7.128
1011,6.903,-1.929,6.808
1022,6.616,-2.556,6.53
1033,6.319,-2.729,6.453
1046,6.243,-2.427,6.515
1058,6.367,-2.02,6.717
1066,6.621,-1.853,6.956
1075,6.898,-2.068,7.109
1086,7.076,-1.972,7.123
1100,7.037,-2.015,7.009
1111,6.975,-2.465,6.846
1121,6.831,-2.772,6.736
1130,6.654,-2.465,6.831
1139,6.659,-1.915,6.985
1153,6.669,-1.599,7.004
1164,6.884,-1.637,7.028
1173,6.898,-1.738,6.961
1184,6.693,-2.154,6.717
1195,6.281,-2.374,6.434
1210,6.219,-2.432,6.372
1219,6.578,-2.47,6.683
