time,x,y,z
17,0.131,0.217,-0.064
28,0.133,0.133,-0.045
35,0.065,0.053,-0.013
49,-0.051,-0.061,0.015
61,-0.149,-0.164,0.049
68,-0.194,-0.155,0.07
79,-0.114,-0.084,0.13
90,0.051,0.015,0.148
104,0.073,0.162,0.079
115,0.101,0.227,0.034
125,0.09,0.248,-0.024
136,0.062,0.225,-0.079
149,0.038,0.099,-0.11
157,-0.001,-0.002,-0.093
168,-0.053,-0.164,-0.053
184,-0.104,-0.386,0.001
193,-0.077,-0.404,0.07
205,-0.001,-0.293,0.111
215,0.022,-0.111,0.1
230,0.015,0.09,0.034
240,-0.039,0.275,-0.01
251,0.051,0.291,-0.026
259,0.088,0.25,-0.022
268,0.087,0.133,0.023
282,0.093,-0.032,0.105
290,0.027,-0.215,0.137
300,-0.068,-0.26,0.125
313,-0.054,-0.228,0.108
321,-0.067,-0.169,0.057
332,-0.1,-0.07,-0.066
346,-0.094,-0.004,-0.134
357,-0.059,0.043,-0.095
365,-0.046,0.054,-0.057
374,-0.05,0.071,-0.035
389,-0.013,0.064,0.039
397,-0.011,0.042,0.068
408,-0.04,0.0,0.083
422,-0.082,-0.051,0.104
433,-0.093,-0.09,0.095
442,-0.061,-0.073,0.075
453,-0.018,0.002,0.034
462,0.024,0.108,0.009
477,0.039,0.159,-0.004
488,0.02,0.151,-0.049
496,0.01,0.078,-0.031
507,0.018,-0.032,0.001
516,-0.009,-0.101,0.024
525,-0.026,-0.145,0.06
539,-0.027,-0.138,0.084
548,-0.045,-0.073,0.082
560,-0.031,0.017,0.075
572,-0.007,0.117,0.038
583,0.05,0.192,-0.006
594,0.103,0.155,-0.029
605,0.094,0.09,-0.001
619,0.028,-0.004,0.037
630,-0.065,-0.12,0.049
639,-0.065,-0.144,0.088
650,-0.05,-0.123,0.094
661,-0.067,-0.068,0.083
674,-0.075,0.032,0.039
685,-0.054,0.055,-0.007
695,0.0,0.028,-0.045
707,0.028,-0.005,-0.06
718,0.062,-0.026,-0.012
726,0.071,-0.015,0.028
737,0.02,0.005,0.057
750,-0.002,0.027,0.099
761,-0.044,0.045,0.093
770,-0.046,0.035,0.039
780,0.002,-0.009,-0.023
791,0.062,-0.039,-0.075
805,0.067,-0.02,-0.095
813,0.016,0.01,-0.09
820,-0.01,0.031,-0.082
836,-0.031,0.044,-0.028
844,-0.005,0.018,-0.021
856,0.023,-0.042,-0.045
870,0.039,-0.095,-0.038
880,-0.032,-0.087,-0.031
890,-0.06,-0.057,-0.007
900,-0.051,-0.021,0.009
914,-0.029,0.04,-0.026
924,0.017,0.088,-0.039
935,0.101,0.084,-0.007
949,0.093,0.039,0.012
960,0.031,-0.031,0.043
970,-0.012,-0.086,0.072
978,-0.035,-0.079,0.093
989,-0.078,-0.031,0.092
1003,-0.108,0.039,0.043
1011,-0.138,0.083,-0.005
1022,-0.038,0.106,-0.046
1033,0.073,0.095,-0.048
1046,0.137,0.031,-0.034
1058,0.087,-0.087,-0.059
1066,0.001,-0.106,-0.06
1075,-0.032,-0.1,-0.018
1086,-0.066,-0.07,0.024
1100,-0.123,-0.023,0.02
1111,-0.051,0.035,0.049
1121,0.061,0.059,0.077
1130,0.121,0.054,0.099
1139,0.126,0.031,0.089
1153,0.038,-0.004,0.068
1164,-0.056,-0.033,0.028
1173,-0.098,-0.004,0.005
1184,-0.082,0.042,-0.031
1195,-0.018,0.033,-0.057
1210,0.064,-0.04,-0.062
1219,0.079,-0.134,-0.023
1226,0.099,-0.134,0.044
1241,0.076,-0.048,0.132
1251,-0.001,0.072,0.131
1261,-0.094,0.204,0.066
1268,-0.095,0.235,0.034
1278,0.006,0.187,-0.007
1289,0.083,0.02,-0.056
1304,0.099,-0.126,-0.049
1315,0.066,-0.222,0.027
1326,0.018,-0.239,0.145
1336,-0.072,-0.156,0.197
1345,-0.132,-0.031,0.208
1356,-0.156,0.095,0.189
1370,-0.13,0.202,0.11
1380,-0.033,0.21,0.095
1391,0.061,0.186,0.109
1405,0.056,0.16,0.195
1414,0.026,0.153,0.307
1425,-0.01,0.177,0.611
1439,-0.125,0.209,0.968
1447,-0.338,0.303,1.458
1459,-0.654,0.429,1.819
1470,-0.784,0.448,1.947
1479,-0.949,0.417,1.984
1493,-1.451,0.252,1.786
1506,-1.764,-0.216,1.726
1516,-1.961,-0.826,1.721
1530,-2.105,-1.768,1.363
1541,-1.946,-2.352,0.781
1550,-1.901,-3.826,0.419
1560,-1.163,-4.667,-0.051
1573,-0.282,-5.362,-0.586
1581,-0.153,-5.44,-0.838
1591,-0.434,-5.509,-1.19
1605,-1.074,-5.356,-1.921
1616,-1.93,-5.707,-2.528
1625,-2.219,-5.972,-3.015
1638,-2.683,-6.25,-3.614
1648,-2.905,-6.798,-3.949
1660,-2.6,-7.234,-4.172
1669,-2.118,-7.585,-4.175
1683,-1.811,-7.655,-4.236
1694,-2.023,-7.322,-4.447
1703,-2.153,-7.025,-4.869
1715,-2.198,-6.958,-5.708
1729,-1.874,-7.129,-6.706
1740,-1.351,-7.163,-7.093
1751,-1.15,-7.071,-7.129
1761,-1.057,-6.916,-6.804
1775,-0.882,-6.643,-6.265
1787,-0.599,-6.625,-5.704
1796,-0.448,-6.784,-5.315
1807,-0.134,-7.137,-4.977
1821,-0.228,-7.624,-4.957
1830,-0.723,-7.789,-4.997
1841,-0.737,-7.927,-4.87
1852,-0.87,-7.773,-4.595
1866,-0.822,-7.657,-3.803
1875,-0.483,-7.614,-3.057
1882,-0.22,-6.795,-2.871
1892,-0.453,-5.734,-2.109
1902,-0.054,-4.864,-1.503
1918,-0.266,-4.176,-0.723
