time,x,y,z
17,4.912,-1.321,8.55
26,4.423,-1.963,8.038
36,3.873,-2.456,7.597
50,3.61,-2.657,6.137
61,3.677,-2.489,7.54
72,4.232,-2.001,8.028
82,4.749,-1.992,8.521
95,5.304,-1.795,9.177
107,5.687,-0.957,9.78
117,5.663,-0.761,9.795
132,5.472,-1.235,9.311
142,5.185,-1.666,8.631
151,4.787,-2.068,8.057
159,4.213,-2.523,7.516
168,3.614,-2.968,7.214
181,3.48,-2.872,7.296
192,3.715,-1.752,8.196
201,4.471,-1.417,8.689
216,5.036,-0.91,9.359
225,5.659,-0.469,9.862
235,5.941,-0.579,9.704
241,5.864,-1.091,9.23
256,5.491,-1.891,8.55
267,5.027,-2.734,7.937
277,4.136,-3.48,7.516
287,3.504,-3.581,7.487
294,3.547,-1.929,7.87
304,3.916,-1.508,8.301
318,4.323,-1.307,8.612
328,4.806,-0.747,8.9
338,5.395,-0.33,9.139
348,5.539,-1.187,8.981
359,5.146,-2.145,8.541
370,4.735,-2.585,8.272
384,4.438,-2.853,8.114
394,4.299,-2.341,8.32
401,4.285,-1.795,8.473
411,4.318,-1.355,8.622
425,4.5,-0.675,8.823
436,4.701,-0.493,8.861
447,4.974,-0.866,8.947
457,5.601,-1.992,8.861
466,5.687,-2.714,8.871
480,5.386,-2.422,8.756
487,4.864,-1.484,8.608
498,4.074,-1.106,8.239
509,3.82,-1.388,7.942
523,3.844,-1.518,7.976
535,4.155,-1.738,8.028
546,4.366,-1.714,8.138
558,4.648,-1.628,8.325
569,4.993,-1.747,8.579
578,5.328,-1.944,8.756
589,5.098,-2.236,8.574
595,4.725,-2.193,8.545
612,4.462,-2.035,8.406
622,4.481,-1.814,8.483
631,4.519,-1.546,8.641
638,4.835,-1.139,8.799
648,5.089,-1.154,8.866
662,5.165,-1.321,8.703
673,4.902,-1.489,8.478
682,4.668,-1.733,8.335
693,4.591,-2.049,8.263
701,4.557,-2.279,8.263
716,4.49,-2.183,8.229
727,4.309,-2.054,8.244
737,4.438,-1.685,8.469
743,4.773,-1.484,8.722
753,5.228,-1.575,8.947
768,5.673,-1.733,9.225
777,5.635,-1.46,9.278
786,5.247,-1.57,8.952
797,4.787,-1.843,8.493
811,4.371,-2.02,8.244
822,4.088,-2.231,8.076
833,4.079,-1.719,8.373
843,4.361,-1.029,8.689
854,4.902,-0.981,8.981
864,5.472,-1.321,9.148
879,5.745,-1.853,9.216
889,5.654,-2.035,9.263
900,5.371,-2.298,8.823
910,4.94,-1.901,8.512
920,4.385,-1.877,8.196
935,3.959,-1.944,8.038
945,3.921,-1.527,8.1
956,4.151,-0.938,8.387
966,4.567,-1.034,8.603
977,4.711,-1.048,8.66
988,5.065,-1.455,8.593
998,5.285,-2.097,8.617
1012,5.194,-2.513,8.488
1018,4.72,-2.475,8.316
1028,4.371,-2.346,8.158
1042,4.112,-2.126,8.225
1052,4.131,-1.613,8.387
1068,4.481,-1.211,8.564
1077,4.768,-0.771,8.727
1088,5.094,-0.373,8.842
1098,5.247,-1.211,8.694
1105,4.859,-1.647,8.435
1120,4.208,-2.284,8.057
1129,3.93,-2.552,7.866
1139,3.935,-2.245,8.0
1151,4.232,-1.695,8.493
1159,4.51,-1.494,8.478
1170,4.629,-1.264,8.383
1184,4.749,-0.67,8.124
1195,4.72,-0.23,7.693
1205,4.457,-0.254,6.453
1215,3.638,-0.306,5.467
1225,3.246,-0.412,4.198
1241,2.824,-0.177,3.16
1249,2.217,-0.249,2.188
1260,1.671,-0.354,0.618
1270,1.01,-0.354,-0.163
1279,0.101,-0.292,-0.761
1289,-0.316,-1.254,-1.431
1304,-0.211,-2.279,-2.695
1315,0.0,-2.432,-3.136
1325,-0.019,-0.819,-3.523
1334,0.148,-0.421,-4.012
1344,0.11,1.02,-4.294
1360,0.34,2.896,-4.486
1369,0.493,4.495,-4.725
1378,0.445,5.108,-5.232
1387,0.589,4.629,-5.879
1398,1.02,3.969,-6.611
1411,2.14,3.083,-7.267
1422,3.95,3.011,-7.727
1432,6.056,4.055,-8.081
1442,7.866,5.338,-8.167
1453,8.464,6.76,-8.789
1467,9.043,6.63,-9.531
1478,9.575,5.534,-11.829
1488,10.901,4.05,-13.208
1498,14.419,5.075,-14.055
1512,17.258,6.492,-14.711
1523,19.321,8.057,-15.429
1533,20.509,7.396,-16.631
1544,20.389,5.285,-19.293
1555,21.648,3.638,-21.404
1569,23.012,2.585,-22.644
1578,24.956,4.079,-22.993
1590,26.809,6.626,-21.907
1598,28.092,9.919,-20.853
1608,28.216,11.207,-19.996
1622,27.441,9.819,-20.427
1633,25.215,8.311,-21.361
1645,23.008,6.544,-24.027
1655,20.073,6.319,-24.329
1668,18.402,7.77,-24.664
1679,19.341,8.277,-22.792
1689,19.834,8.205,-21.452
1701,19.714,8.564,-18.67
1711,18.0,11.533,-16.569
1726,17.531,11.882,-15.774
1736,18.082,9.766,-14.932
1746,16.832,10.211,-15.654
1757,16.535,10.288,-15.468
1768,17.296,8.746,-13.768
1776,17.837,8.866,-12.763
1790,18.168,7.334,-13.357
1800,19.661,5.118,-11.595
1811,23.079,4.62,-9.464
1822,24.372,2.25,-7.736
1837,25.669,-2.126,-6.841
1847,25.133,-3.016,-6.64
1858,25.1,-4.026,-6.166
1868,25.172,-4.601,-5.783
1879,28.628,-5.802,-4.567
1889,32.295,-1.647,-4.548
1902,35.804,-2.518,-7.32
1913,40.864,-2.528,-8.67
1924,39.892,-11.15,-17.273
1935,46.451,11.624,-15.946
1945,55.307,9.704,-11.547
1960,65.15,16.861,-11.643
1970,67.07,24.042,-15.616
1980,62.579,19.379,-26.857
1991,57.797,18.541,-19.618
2002,53.436,19.02,-16.698
2016,46.705,28.422,-18.077
2027,40.802,18.508,-6.482
2035,40.879,8.325,1.857
2046,27.493,8.33,-9.029
2060,27.015,6.702,-7.253
2070,29.834,4.122,-7.913
2080,25.693,6.831,1.13
2089,23.166,5.156,-3.93
2100,25.406,5.625,13.62
2111,19.006,3.681,-5.228
2126,14.659,4.17,-5.266
2137,13.385,5.3,-8.914
2146,7.779,6.286,-14.4
2157,20.93,9.091,-12.476
2167,9.287,6.415,-4.452
2178,8.44,8.435,-2.039
2192,6.444,2.106,-4.854
2202,6.396,1.393,-2.662
2214,6.056,9.445,-5.678
2224,6.367,6.171,3.006
2235,-17.885,6.721,-41.118
2248,-10.068,74.241,9.905
2258,11.355,-1.015,10.039
2270,5.663,-21.074,-8.88
2280,0.364,-1.498,-2.786
2290,-1.68,6.228,-3.547
