time,x,y,z
17,-0.202,0.268,-0.147
26,-0.162,0.247,-0.228
36,-0.092,0.161,-0.226
50,0.02,-0.073,-0.149
61,0.06,-0.227,-0.054
72,0.083,-0.316,0.081
82,0.101,-0.298,0.151
95,0.167,-0.236,0.183
107,0.186,-0.024,0.079
117,0.023,0.114,-0.031
132,-0.084,0.191,-0.072
142,-0.151,0.225,-0.066
151,-0.204,0.219,-0.076
159,-0.177,0.159,-0.079
168,-0.039,0.042,-0.022
181,0.233,-0.159,0.078
192,0.255,-0.279,0.081
201,0.237,-0.323,0.109
216,0.154,-0.288,0.094
225,-0.007,-0.166,-0.011
235,-0.22,0.049,-0.077
241,-0.281,0.166,-0.11
256,-0.297,0.29,-0.206
267,-0.222,0.348,-0.247
277,-0.046,0.253,-0.098
287,0.26,0.011,0.117
294,0.275,-0.088,0.167
304,0.154,-0.238,0.184
318,0.1,-0.301,0.271
328,0.039,-0.283,0.244
338,-0.115,-0.108,0.094
348,-0.162,0.06,-0.114
359,-0.067,0.204,-0.173
370,0.109,0.238,-0.178
384,0.228,0.148,-0.053
394,0.304,0.055,0.01
401,0.272,-0.005,0.043
411,0.21,-0.078,0.117
425,0.02,-0.181,0.149
436,-0.164,-0.235,0.078
447,-0.291,-0.166,-0.011
457,-0.184,-0.009,-0.105
466,0.004,0.182,-0.126
480,0.263,0.325,-0.061
487,0.271,0.363,-0.029
498,0.081,0.249,-0.021
509,-0.045,0.084,0.011
523,-0.095,-0.062,0.011
535,-0.108,-0.199,-0.004
546,-0.103,-0.249,-0.004
558,-0.105,-0.26,0.0
569,-0.09,-0.12,-0.022
578,0.005,-0.011,-0.05
589,0.112,0.101,-0.075
595,0.166,0.115,-0.075
612,0.187,0.078,-0.042
622,0.144,-0.006,0.027
631,0.029,-0.042,0.116
638,-0.064,-0.053,0.143
648,-0.15,-0.011,0.158
662,-0.131,0.048,0.094
673,-0.065,0.077,-0.01
682,0.012,0.075,-0.1
693,0.056,0.061,-0.112
701,0.065,0.043,-0.071
716,0.033,-0.002,-0.022
727,0.011,-0.071,0.066
737,0.0,-0.159,0.057
743,-0.013,-0.167,0.044
753,0.02,-0.128,0.011
768,0.112,-0.031,-0.001
777,0.095,0.144,-0.016
786,0.023,0.219,-0.02
797,-0.004,0.204,-0.015
811,-0.021,0.143,-0.005
822,0.072,-0.018,0.043
833,0.089,-0.156,0.035
843,0.015,-0.2,0.017
854,-0.042,-0.197,0.018
864,-0.093,-0.097,0.012
879,-0.093,0.057,0.016
889,-0.044,0.222,0.013
900,0.034,0.276,0.013
910,0.049,0.257,-0.017
920,0.045,0.206,-0.045
935,0.082,0.108,0.039
945,0.088,-0.089,0.061
956,0.016,-0.148,0.016
966,-0.065,-0.123,0.02
977,-0.101,-0.075,-0.015
988,-0.123,-0.023,-0.11
998,-0.059,0.064,-0.121
1012,0.075,0.202,-0.075
1018,0.097,0.206,-0.048
1028,0.108,0.162,-0.01
1042,0.076,-0.011,0.089
1052,0.056,-0.103,0.156
1068,0.028,-0.161,0.158
1077,0.0,-0.142,0.093
1088,-0.117,0.006,-0.024
1098,-0.126,0.149,-0.089
1105,-0.105,0.195,-0.115
1120,-0.053,0.202,-0.132
1129,0.049,0.09,-0.009
1139,0.039,-0.077,0.078
1151,-0.059,-0.154,0.176
1159,-0.1,-0.151,0.26
1170,-0.094,-0.126,0.319
1184,-0.101,-0.031,0.321
1195,-0.231,0.018,0.318
1205,-0.316,0.09,0.319
1215,-0.412,0.164,0.379
1225,-0.508,0.197,0.459
1241,-0.699,0.2,0.607
1249,-0.9,0.254,0.702
1260,-1.373,0.23,0.93
1270,-1.693,0.043,1.313
1279,-2.034,-0.145,1.454
1289,-2.153,-0.401,1.395
1304,-1.944,-0.864,1.192
1315,-1.06,-1.091,0.954
1325,-0.762,-1.395,0.739
1334,-0.507,-1.643,0.742
1344,-0.392,-2.002,0.941
1360,-0.572,-2.368,1.177
1369,-1.333,-2.933,1.103
1378,-1.701,-3.324,0.792
1387,-1.934,-3.752,0.347
1398,-1.955,-4.209,-0.182
1411,-1.834,-4.799,-0.909
1422,-1.337,-5.246,-1.306
1432,-1.17,-5.449,-1.532
1442,-1.355,-5.748,-1.627
1453,-2.016,-5.807,-1.756
1467,-2.744,-5.822,-2.009
1478,-3.147,-5.9,-2.388
1488,-2.797,-6.082,-3.07
1498,-2.233,-6.266,-3.693
1512,-1.79,-6.374,-4.282
1523,-1.91,-6.36,-5.078
1533,-2.566,-6.153,-5.312
1544,-2.668,-6.165,-5.426
1555,-2.336,-6.289,-5.51
1569,-1.384,-6.762,-5.515
1578,-0.159,-7.152,-5.521
1590,0.401,-7.4,-5.51
1598,0.099,-7.407,-5.396
1608,-0.891,-7.07,-5.11
1622,-2.028,-6.592,-4.672
1633,-2.623,-6.084,-4.71
1645,-2.29,-5.99,-5.026
1655,-0.891,-6.107,-5.264
1668,-0.162,-6.355,-5.394
1679,0.591,-6.71,-5.242
1689,1.521,-6.782,-4.831
1701,1.836,-6.965,-4.105
1711,0.918,-7.102,-3.209
1726,-0.143,-7.093,-2.505
1736,-1.344,-6.948,-1.525
1746,-1.591,-7.023,-1.239
1757,-2.258,-7.131,-1.2
1768,-2.176,-6.942,-1.131
1776,-2.263,-6.644,-1.161
1790,-2.376,-6.18,-1.432
1800,-2.126,-5.769,-1.863
1811,-2.167,-3.735,-2.288
1822,-2.043,-2.319,-2.246
1837,-1.874,-1.119,-1.693
1847,-1.48,0.47,-1.01
1858,-0.976,1.577,0.23
1868,-0.483,3.5,1.647
1879,-0.061,5.729,3.18
1889,0.115,8.415,4.712
1902,0.155,11.506,6.184
1913,1.051,15.443,6.68
1924,6.032,17.554,6.419
1935,3.856,18.853,9.005
1945,-0.629,19.345,8.622
1960,1.829,20.683,9.898
1970,-5.505,19.058,11.755
1980,-4.925,16.82,12.292
1991,-3.684,13.472,11.718
2002,-2.546,11.918,11.03
2016,-1.833,10.975,7.145
2027,-6.75,8.902,5.565
2035,-4.01,8.95,4.541
2046,-2.632,8.006,3.971
2060,-4.31,5.559,3.95
2070,-3.021,6.231,4.263
2080,-2.54,4.932,3.873
2089,-2.698,4.302,3.868
2100,-2.843,2.685,3.323
2111,-3.333,3.378,4.012
2126,-2.175,3.633,4.136
2137,-3.038,3.079,4.311
2146,-0.734,1.934,3.693
2157,-4.006,0.602,3.817
2167,-1.344,1.214,2.905
2178,-3.616,0.463,2.994
2192,-4.753,1.166,3.813
2202,-2.313,2.222,3.556
2214,-4.767,1.971,3.349
2224,-3.864,1.809,2.594
2235,0.149,2.051,0.746
2248,-6.055,-1.545,-7.421
2258,-18.47,-3.225,-2.779
2270,-7.107,-2.337,-0.099
2280,-2.745,-3.318,-0.065
2290,-5.879,-4.15,-0.479
2304,-4.851,-2.186,-0.458
2314,-5.811,-1.493,-1.346
2324,-5.163,-4.704,-2.906
2335,-4.558,-7.525,-4.292
2350,-5.85,-8.572,-5.874
2358,-7.2,-7.936,-4.892
2370,-5.163,-7.3,-4.878
2380,-6.602,-7.8,-4.419
2390,-3.555,-9.115,-6.585
2401,-5.143,-12.205,-7.356
2416,-7.569,-13.554,-9.613
