time,x,y,z
17,3.993,-1.671,7.564
26,4.395,-0.699,8.196
37,5.4,-0.484,8.564
47,5.912,-0.163,9.029
61,6.065,-0.321,9.335
69,6.286,-0.531,9.479
80,6.209,-0.924,9.278
93,5.769,-1.058,8.962
104,5.371,-1.226,8.301
113,4.873,-1.379,7.861
124,4.505,-1.613,7.597
135,4.246,-1.666,7.511
149,4.376,-1.719,7.76
158,4.83,-1.671,8.205
166,5.161,-0.819,8.713
182,5.534,0.077,9.196
193,5.86,0.527,9.34
202,5.807,0.158,9.206
212,5.539,-0.56,8.799
222,5.261,-1.197,7.985
233,4.754,-2.059,7.569
242,4.457,-2.169,7.344
257,4.27,-2.135,7.372
266,4.261,-1.57,7.617
276,4.505,-0.804,8.067
284,4.94,0.086,8.608
294,5.548,0.177,9.091
309,6.195,-0.124,9.225
319,6.027,-0.474,9.038
330,5.481,-0.756,8.502
339,5.036,-1.235,7.827
348,4.481,-2.006,7.449
359,4.505,-2.26,7.382
373,4.601,-1.91,7.636
384,4.821,-1.522,7.923
394,4.845,-0.823,8.282
404,5.165,-0.369,8.55
414,5.419,-0.01,8.919
428,5.807,-0.259,9.134
439,5.922,-0.709,9.125
447,5.884,-0.938,8.813
463,5.836,-1.46,8.416
473,5.386,-1.699,8.081
484,4.883,-2.044,7.612
494,4.17,-1.699,7.64
511,4.323,-0.943,8.009
519,4.917,-0.551,8.66
530,5.654,-0.34,8.986
541,6.42,-0.302,9.383
551,6.626,0.038,9.254
562,5.85,-0.78,8.818
576,5.386,-1.273,8.344
586,4.979,-1.532,7.947
596,4.524,-1.877,7.621
607,4.371,-2.078,7.487
616,4.237,-1.182,7.602
630,4.289,-0.302,7.755
641,4.481,-0.124,7.837
650,4.984,-0.574,7.961
661,5.333,-0.45,8.406
673,5.314,-0.527,8.177
687,5.017,-0.618,7.918
696,4.802,-0.507,7.444
707,4.553,-0.536,6.683
717,4.122,-0.551,6.089
732,3.662,-0.536,5.505
742,3.294,-0.388,4.917
748,2.982,-0.46,4.098
759,2.657,-0.517,3.203
770,2.284,-0.972,2.293
785,2.073,-1.221,1.542
792,2.044,-1.618,0.656
803,1.972,-1.824,-0.407
814,1.982,-1.656,-1.221
828,1.628,-0.378,-2.011
836,0.364,1.58,-3.006
846,-1.029,2.623,-4.538
860,-2.073,2.331,-6.267
871,-2.284,0.943,-6.879
881,-2.044,0.23,-7.353
894,-0.866,-0.072,-7.607
906,1.35,1.178,-7.411
917,3.792,2.513,-7.061
931,5.328,3.964,-6.286
942,6.353,6.31,-5.635
952,6.975,7.712,-5.477
959,6.688,7.392,-6.195
969,5.845,7.052,-7.559
983,5.745,5.285,-10.427
994,6.918,4.246,-12.16
1001,9.359,6.53,-13.021
1011,13.945,8.397,-13.328
1024,17.11,9.105,-14.347
1032,18.915,8.675,-15.128
1043,21.509,8.177,-16.028
1059,23.348,7.219,-17.411
1067,24.013,5.027,-18.737
1078,24.023,4.581,-19.743
1087,24.884,4.203,-20.925
1094,27.718,6.31,-20.738
1109,30.074,8.708,-19.877
1120,31.103,9.622,-18.527
1128,31.663,8.373,-17.799
1137,31.06,6.717,-17.517
1146,29.81,5.309,-17.569
1162,26.478,3.945,-18.541
1173,22.495,3.806,-19.317
1181,19.384,4.055,-20.6
1192,17.048,4.06,-22.601
1200,15.415,3.657,-22.965
1212,17.1,5.118,-21.284
1224,17.043,7.65,-18.24
1234,17.498,9.0,-15.219
1248,16.894,8.454,-13.51
1257,15.827,7.511,-12.433
1269,12.844,5.4,-12.006
1280,10.915,4.218,-12.782
1294,8.646,4.821,-13.768
1304,8.282,3.619,-13.902
1314,9.168,4.644,-12.758
1325,10.57,5.357,-11.81
1338,11.25,5.941,-10.57
1349,12.246,5.319,-9.709
1358,12.188,5.209,-10.436
1369,11.7,2.173,-9.833
1385,13.404,2.748,-7.535
1395,14.352,1.905,-6.86
1405,14.936,0.627,-6.965
1415,14.908,0.546,-7.708
1426,15.477,-2.542,-7.755
1438,17.162,-3.332,-6.975
1449,19.939,-3.825,-5.242
1463,21.729,-8.019,-4.639
1473,28.705,-6.592,-7.071
1483,25.617,-7.152,-15.535
1498,32.975,-8.502,-12.839
1508,32.324,-6.267,-14.213
1517,36.733,10.326,1.551
1527,44.412,8.895,-10.724
1538,51.832,2.312,-13.816
1552,55.93,18.843,-16.803
1562,57.136,23.079,-20.935
1572,55.662,9.637,-19.35
1583,57.294,2.303,-20.03
1596,57.677,18.953,-19.791
1608,45.575,20.638,-18.249
1616,43.234,7.363,-16.626
1627,42.803,7.013,-10.02
1638,31.572,3.945,-26.909
1648,32.357,2.652,-16.181
1657,33.377,3.648,-1.585
1667,31.496,2.298,-3.801
1681,32.668,4.529,-6.487
1692,28.848,3.404,-1.159
1703,27.23,-1.072,-5.678
1714,25.698,7.243,-5.893
1723,21.571,6.961,-6.458
1734,20.619,7.277,-6.52
1748,17.407,4.265,-9.029
1758,18.469,6.779,-2.848
1771,14.233,7.415,-3.389
1781,11.068,3.006,-8.253
1796,7.894,3.155,-11.154
1806,10.417,5.687,-2.231
1815,6.889,1.609,-4.486
1826,8.057,3.892,-3.246
1836,8.967,3.519,0.479
1845,8.871,1.747,2.767
1860,-19.384,-0.838,-43.636
1870,0.91,38.643,23.793
1880,8.268,-7.353,4.4
1888,-0.972,-20.643,-7.052
1898,1.905,-6.233,3.413
1912,2.303,2.403,7.128
1923,-4.299,-1.585,-0.957
1933,-11.662,15.386,5.39
1943,-7.483,27.417,13.017
1951,1.91,7.214,1.283
1962,-5.898,-8.091,-5.525
1977,-2.413,6.233,2.532
1987,-4.304,8.196,0.388
1994,-1.446,10.714,4.73
2005,-3.95,7.09,2.848
2019,-0.383,6.736,3.796
2028,-4.179,5.367,-3.222
2039,0.996,10.781,3.04
