time,x,y,z
17,0.225,-0.263,0.055
26,0.134,-0.334,0.073
37,0.07,-0.342,0.154
47,-0.009,-0.253,0.166
61,-0.07,-0.101,0.098
69,-0.073,0.064,-0.001
80,-0.031,0.237,-0.095
93,-0.029,0.319,-0.17
104,-0.038,0.279,-0.171
113,-0.043,0.213,-0.147
124,-0.016,0.072,-0.116
135,0.007,-0.061,-0.065
149,0.04,-0.213,0.079
158,0.123,-0.226,0.195
166,0.143,-0.205,0.266
182,0.026,-0.153,0.233
193,-0.101,-0.049,0.01
202,-0.214,0.064,-0.117
212,-0.226,0.137,-0.197
222,-0.176,0.167,-0.244
233,-0.035,0.132,-0.231
242,0.054,0.084,-0.148
257,0.128,-0.028,0.042
266,0.193,-0.159,0.189
276,0.099,-0.246,0.281
284,0.024,-0.275,0.27
294,-0.082,-0.232,0.133
309,-0.092,-0.026,-0.011
319,-0.046,0.213,-0.169
330,-0.062,0.241,-0.216
339,-0.112,0.17,-0.227
348,-0.101,0.071,-0.123
359,-0.012,-0.114,0.013
373,0.046,-0.215,0.133
384,0.089,-0.225,0.203
394,0.082,-0.23,0.22
404,0.079,-0.232,0.148
414,0.042,-0.216,0.004
428,-0.01,-0.1,-0.109
439,-0.055,0.007,-0.077
447,-0.081,0.067,-0.062
463,-0.07,0.153,-0.103
473,0.02,0.217,-0.101
484,0.103,0.155,-0.035
494,0.14,0.001,0.024
511,0.094,-0.237,0.099
519,0.026,-0.346,0.142
530,-0.054,-0.248,0.173
541,-0.06,-0.051,0.156
551,-0.115,0.169,0.022
562,-0.151,0.381,-0.101
576,-0.054,0.429,-0.166
586,-0.004,0.345,-0.189
596,0.076,0.215,-0.165
607,0.189,0.033,-0.082
616,0.211,-0.093,0.053
630,0.112,-0.198,0.142
641,-0.054,-0.271,0.132
650,-0.104,-0.272,0.122
661,-0.011,-0.095,0.055
673,-0.028,0.042,-0.023
687,-0.006,0.155,-0.035
696,-0.087,0.181,-0.005
707,-0.166,0.205,0.064
717,-0.233,0.226,0.112
732,-0.282,0.221,0.183
742,-0.346,0.206,0.22
748,-0.445,0.202,0.244
759,-0.645,0.184,0.374
770,-0.798,0.151,0.591
785,-1.052,0.07,0.98
792,-1.194,-0.005,1.199
803,-1.297,-0.05,1.47
814,-1.36,-0.097,1.807
828,-1.462,-0.114,2.103
836,-1.858,-0.16,2.053
846,-2.127,-0.342,1.677
860,-2.05,-1.018,0.904
871,-1.655,-1.663,0.143
881,-1.024,-2.437,-0.288
894,-0.316,-3.396,-0.594
906,0.713,-4.181,-0.597
917,0.913,-4.789,-0.441
931,0.793,-5.054,-0.301
942,0.29,-4.979,-0.5
952,-0.677,-4.668,-0.935
959,-1.067,-4.459,-1.343
969,-1.459,-4.342,-1.867
983,-1.345,-4.674,-2.319
994,-0.639,-5.819,-2.938
1001,-0.112,-6.453,-3.2
1011,-0.391,-7.034,-3.495
1024,-0.757,-7.493,-3.587
1032,-1.436,-7.818,-3.412
1043,-2.38,-7.65,-3.152
1059,-2.83,-7.242,-3.305
1067,-2.875,-6.864,-3.79
1078,-1.748,-7.139,-4.337
1087,-0.94,-7.592,-4.701
1094,-0.217,-8.038,-4.744
1109,0.121,-8.577,-4.496
1120,-0.277,-8.507,-4.044
1128,-1.35,-8.197,-3.479
1137,-1.936,-7.768,-2.428
1146,-2.735,-7.124,-1.246
1162,-3.374,-6.44,0.145
1173,-3.547,-6.01,0.356
1181,-3.536,-5.859,0.15
1192,-3.045,-5.94,-0.38
1200,-2.382,-6.26,-1.012
1212,-1.376,-6.605,-2.172
1224,-0.511,-6.616,-3.108
1234,-0.86,-6.316,-3.503
1248,-0.914,-5.997,-3.632
1257,-1.383,-5.55,-3.155
1269,-1.94,-5.181,-3.075
1280,-1.852,-5.002,-2.843
1294,-1.829,-5.075,-2.627
1304,-1.493,-5.125,-2.396
1314,-1.363,-5.049,-2.224
1325,-1.502,-4.972,-2.142
1338,-1.414,-4.57,-2.123
1349,-1.574,-4.239,-2.085
1358,-2.099,-4.225,-2.149
1369,-2.037,-4.252,-2.235
1385,-1.687,-3.213,-2.334
1395,-1.693,-1.382,-2.346
1405,-1.412,-0.217,-2.419
1415,-1.536,0.878,-2.529
1426,-1.339,2.0,-2.345
1438,-1.125,3.721,-1.839
1449,-1.422,5.632,-0.8
1463,-1.097,9.432,1.773
1473,-0.557,12.639,3.991
1483,1.384,13.228,5.244
1498,1.979,12.649,6.384
1508,6.572,13.675,7.385
1517,3.643,14.645,7.896
1527,-0.057,15.89,8.625
1538,2.204,16.05,10.037
1552,2.037,15.929,9.209
1562,-3.433,15.691,9.721
1572,-5.049,13.978,10.528
1583,-1.299,12.109,10.297
1596,2.996,13.405,8.26
1608,-3.812,9.443,5.412
1616,-2.285,8.523,4.661
1627,-3.112,7.566,4.485
1638,-1.316,7.583,4.853
1648,-1.014,6.3,5.47
1657,-0.933,6.101,4.715
1667,-1.392,5.481,4.893
1681,0.12,5.764,4.491
1692,-1.89,3.155,4.038
1703,-0.555,3.636,5.005
1714,0.948,4.138,4.911
1723,1.212,4.327,4.253
1734,-1.026,3.706,3.545
1748,0.49,3.899,3.069
1758,-0.709,3.426,2.815
1771,-0.065,3.238,2.257
1781,-1.734,2.99,2.593
1796,0.652,2.921,2.182
1806,-1.537,2.365,2.656
1815,0.804,2.078,1.993
1826,-0.887,1.114,2.046
1836,0.616,0.908,1.301
1845,-1.857,0.066,1.625
1860,9.371,3.757,-0.391
1870,-5.622,-0.806,0.454
1880,-10.942,-2.397,1.763
1888,-1.091,-1.663,3.473
1898,3.34,-0.806,4.253
1912,1.602,-0.049,4.961
1923,3.412,2.129,5.239
1933,4.556,7.053,2.869
1943,-5.846,5.615,1.895
1951,-8.899,4.068,2.671
1962,-1.74,3.203,2.838
1977,1.234,2.191,2.855
1987,-0.061,2.722,2.173
1994,-1.387,3.483,2.023
2005,-1.428,5.175,1.829
2019,-2.856,6.14,2.647
2028,-2.249,6.942,3.363
2039,-3.504,6.931,4.166
2049,-4.717,6.828,4.963
2058,-6.762,6.193,5.181
2073,-7.648,5.473,5.146
2084,-9.079,6.111,4.204
2095,-10.383,5.905,2.596
2104,-10.745,6.392,0.385
2115,-15.795,7.219,0.337
2126,-9.277,6.828,-1.343
2140,-6.079,9.446,-1.703
2150,5.817,14.404,-4.181
2158,5.934,17.306,-2.563
2168,-2.32,3.759,-2.709
2183,-4.597,1.684,-6.685
2192,-7.173,-0.789,-12.675
2202,-8.774,-3.866,-15.923
2213,-14.074,-7.771,-15.077
2224,-6.382,-7.261,-12.419
2237,-0.672,-7.115,-7.156
2246,3.905,-6.239,-5.404
2255,6.331,-6.241,-1.963
2268,0.775,-8.603,-1.819
2279,3.45,-8.222,-1.769
2290,1.638,-8.199,-0.926
2300,-2.308,-9.382,-0.731
2312,-4.244,-9.157,0.549
2321,-2.252,-8.429,0.297
2335,1.988,-6.731,0.452
2344,-10.319,-10.352,-0.838
2352,-11.391,-5.541,-7.82
2363,13.65,1.525,-7.194
2376,14.646,-4.456,-4.216
2384,13.283,-7.158,-5.159
2395,10.427,-8.051,-9.401
2410,8.278,-6.176,-11.418
2419,4.6,-2.69,-10.757
2428,4.176,0.918,-8.754
2438,-0.629,4.363,-8.57
2449,-10.96,8.822,-10.595
2464,-5.489,14.281,-7.424
2475,0.263,14.996,-4.556
2485,9.9,11.182,-3.588
2495,3.702,8.952,1.426
2505,-1.576,11.685,5.39
2516,-3.677,16.887,12.027
2530,10.777,18.37,11.71
2541,6.68,11.809,9.748
2551,1.615,5.652,6.298
2562,-1.172,6.024,3.721
2576,-6.231,4.561,4.139
2585,-1.999,5.859,-0.755
2593,-14.165,6.916,0.275
2604,-6.65,7.692,-1.532
2618,-8.352,9.016,-4.671
2629,1.252,11.952,-6.987
2640,-12.016,2.636,-5.836
2651,-9.573,3.817,-10.602
2659,-12.131,0.878,-15.47
2674,-8.838,-6.382,-17.796
2684,-21.366,-14.258,-16.344
2695,-8.73,-11.291,-9.715
2705,3.095,-6.933,-5.173
2716,10.531,-4.03,-1.741
2725,10.341,-3.993,-1.145
2740,9.483,-5.646,-0.131
2749,1.244,-8.685,-0.17
2758,-3.096,-10.068,-0.96
2768,-2.876,-10.201,-0.639
2781,-2.828,-10.039,-0.403
2792,0.108,-9.145,0.276
2802,6.526,-8.903,0.441
2813,-31.811,-9.363,-2.518
2827,5.841,2.161,-10.074
2836,15.887,-0.447,-2.715
2847,15.724,-4.0,-3.403
2856,14.794,-4.467,-6.326
2869,6.827,-3.951,-9.714
2880,4.418,-2.263,-9.487
2890,6.732,0.469,-8.041
2897,2.186,2.338,-7.195
2913,-7.897,13.786,-7.646
2922,3.895,15.688,-4.107
2933,13.408,12.667,-0.852
2944,4.91,11.554,3.512
2954,5.123,15.466,1.603
2966,-4.39,18.945,9.125
2979,8.281,15.752,11.076
2993,4.039,4.357,10.564
3003,-2.079,0.688,6.883
3012,-5.482,0.374,4.506
3022,-6.514,2.116,-0.075
3033,-14.327,5.826,-1.652
3048,-14.583,8.024,-3.247
3059,-10.553,9.179,-5.095
3070,1.985,14.856,-2.863
3083,-1.715,8.111,-0.615
3095,-6.606,-2.798,-6.793
3105,-13.527,-7.693,-11.112
3116,-14.873,-11.193,-11.934
3151,0.208,-5.381,-2.617
3160,3.874,-4.016,-2.649
3170,5.203,-5.075,-0.841
3184,3.517,-7.85,-0.641
3190,-0.247,-11.147,-2.061
3202,-1.578,-13.314,-2.011
3213,-2.803,-13.156,-1.459
3227,0.83,-9.354,-2.283
3237,8.187,-8.677,-1.241
3248,-20.644,0.524,-7.08
3255,13.079,6.44,-8.288
3270,18.041,5.721,-6.387
3280,18.104,-3.08,-8.256
3289,7.395,-3.632,-11.062
3300,2.944,-1.835,-11.757
3309,3.636,0.971,-9.172
3323,-8.669,3.436,-9.928
3334,-4.553,8.812,-6.126
3344,2.406,10.696,-5.571
3354,5.517,11.026,-2.751
3365,4.924,12.297,2.274
3376,-1.313,20.11,7.677
3389,1.807,23.695,13.676
3400,8.95,17.597,14.945
3410,4.255,4.663,11.864
3421,0.192,-0.858,4.558
3432,-9.592,1.698,0.272
3446,-13.705,3.57,0.612
3456,-10.347,10.286,-2.582
3468,-3.068,11.079,-5.348
3478,11.674,21.623,-7.202
3488,-15.015,3.471,-4.647
3499,-3.493,1.361,-13.189
3534,-6.377,-15.562,-11.156
3541,-8.193,-14.137,-6.227
3551,1.654,-8.254,-8.117
3587,2.018,-8.743,-0.911
3598,-0.076,-9.748,-0.951
3609,-1.185,-9.977,-0.841
3617,0.206,-9.184,-0.358
3631,6.046,-7.037,-0.941
3643,-27.833,-7.029,-2.302
3652,10.059,5.034,-8.921
3663,20.007,4.121,-3.776
3678,18.321,-2.122,-4.61
3689,9.466,-4.799,-9.534
3699,0.487,-3.106,-9.923
3707,-0.937,-0.384,-8.765
3717,-15.746,4.071,-8.782
3730,-4.95,11.67,-5.743
3742,3.014,12.752,-4.42
3751,2.522,11.371,-3.151
3761,4.446,10.68,-0.417
3771,10.05,11.013,2.826
3785,-1.826,15.578,9.393
3796,6.399,24.04,18.971
3807,11.936,20.17,19.757
3816,9.025,4.436,11.94
3826,-13.063,2.074,1.124
3839,-15.776,1.478,1.261
3850,-13.583,13.427,-0.657
3861,15.384,24.813,-3.703
3871,-17.576,13.174,-2.475
3881,-5.731,11.655,-13.427
3892,-8.746,-1.51,-26.227
3906,-20.645,-22.211,-22.04
3915,-23.499,-16.739,-16.784
3925,-0.59,-6.446,-8.645
3939,7.639,-3.231,-2.051
3974,-2.1,-11.96,-0.45
3983,-2.126,-11.47,0.187
3994,-1.996,-9.478,1.224
4005,0.822,-7.565,1.787
4018,1.147,-6.208,0.894
4030,11.398,-6.151,0.045
4038,-10.495,-7.233,-4.997
4048,0.222,4.41,-11.172
4064,18.137,1.008,-3.096
4073,18.465,-4.928,-2.305
4084,17.342,-5.291,-6.944
4095,6.798,-5.244,-9.692
4106,2.549,-3.304,-8.86
4118,-0.766,1.338,-9.68
4130,-7.147,8.671,-5.95
4137,-1.08,12.738,-3.984
4150,5.729,11.346,-0.856
4161,5.916,10.545,-0.12
4171,7.527,11.074,3.626
4183,3.176,16.62,4.845
4198,3.118,23.708,13.643
4206,8.065,18.415,13.894
4214,12.64,8.096,11.719
4224,1.969,4.142,1.859
4241,-19.218,3.396,5.019
4251,0.875,10.647,-1.515
4262,-1.748,17.24,-6.589
4272,2.018,20.459,-8.179
4282,-6.076,13.058,-13.459
4294,-11.487,3.669,-16.054
4305,-0.36,-7.214,-20.509
4316,-24.345,-18.937,-12.981
4327,-5.043,-8.671,-9.708
4362,-2.464,-8.12,-1.329
4372,-0.403,-7.636,0.076
4385,-0.305,-7.207,1.184
4392,-1.692,-7.637,1.104
4406,-1.24,-6.673,0.376
4418,2.257,-5.752,-1.111
4425,6.205,-5.621,-2.164
4438,11.373,-6.121,-3.162
4449,-21.504,-3.808,-12.117
4459,16.699,-0.294,-7.563
4467,17.239,-4.026,-2.291
4482,16.668,-6.409,-0.073
4491,14.521,-5.619,-4.236
4502,1.373,-4.12,-5.862
4513,0.955,-1.258,-6.147
4523,-9.428,4.508,-7.863
4538,-7.077,16.407,-4.54
4548,13.817,17.019,-1.495
4559,9.481,14.468,3.841
4568,8.763,15.321,3.99
4583,8.017,18.958,3.929
4592,2.926,14.1,5.047
4603,2.891,1.107,6.073
4613,8.214,2.503,7.104
4624,-9.792,5.012,3.789
4638,-10.712,2.055,1.45
4648,-5.866,5.47,-1.681
4659,-6.979,7.462,-1.803
4669,7.401,19.754,-5.995
4681,-18.812,9.338,-1.532
4696,-8.875,3.741,-19.703
4706,-10.683,-12.485,-21.043
4716,-35.425,-22.431,-16.173
4753,8.572,-5.622,-4.397
4763,4.602,-9.969,-2.172
4773,-2.031,-12.17,-0.2
4784,-0.546,-11.233,0.684
4793,1.654,-10.595,1.99
4808,-2.109,-9.545,2.006
4817,-0.378,-7.143,1.411
4828,4.205,-6.038,0.591
4837,3.588,-6.381,-1.685
4848,-30.75,-7.08,-8.008
4861,16.506,5.098,-9.36
4872,19.88,-2.065,-5.944
4882,14.921,-5.046,-7.628
4893,10.271,-4.712,-11.294
4904,4.933,-1.967,-11.146
4917,5.191,1.261,-8.734
4928,-12.264,6.192,-11.393
4938,2.057,14.162,-5.228
4949,4.116,15.197,-2.343
4963,12.065,14.888,1.123
4973,6.318,15.793,6.898
4980,6.526,18.564,6.988
4990,6.99,21.87,6.69
5004,-2.049,14.019,7.869
5015,6.847,2.781,3.64
5025,-4.545,7.285,-0.456
5039,-20.067,7.255,1.241
5050,-11.003,6.977,-4.346
5061,-8.495,12.697,-3.885
5071,13.407,24.05,-7.336
5085,-19.173,2.236,-3.703
5096,-7.206,1.825,-19.14
5106,-6.618,-16.581,-15.43
5141,-6.838,-5.912,-3.677
5152,7.305,-2.126,-2.277
5161,4.043,-5.636,-1.642
5172,2.292,-8.107,-1.137
5183,1.013,-10.178,-0.101
5196,-1.798,-10.678,0.165
5206,-1.313,-10.222,0.323
5217,3.321,-8.939,-0.739
5228,2.517,-8.27,-2.336
5243,-32.408,-7.979,-9.562
5254,21.787,4.202,-3.732
5264,20.394,-1.078,-3.383
5275,15.817,-4.456,-7.44
5286,3.919,-3.764,-10.475
5299,1.611,0.435,-9.398
5311,-13.879,5.317,-11.647
5320,-1.04,13.281,-6.039
5331,3.605,15.494,-3.142
5345,13.887,12.522,0.235
5357,5.453,13.859,6.314
5367,6.265,18.359,6.919
5376,9.167,17.843,7.972
5387,2.121,10.699,9.698
5402,9.145,1.951,7.33
5413,-9.858,6.0,1.649
5422,-12.969,3.023,1.879
5433,-12.382,6.693,0.793
5446,-8.732,10.012,-3.677
5457,4.016,29.027,-4.321
5468,-12.204,8.112,-10.416
5477,-8.689,3.627,-18.537
5488,-0.921,-13.545,-20.184
5502,-29.786,-21.485,-15.842
5533,11.225,-3.39,-5.486
5549,4.304,-9.333,-2.705
5559,0.711,-12.897,-2.492
5568,-0.58,-12.331,-0.974
5579,0.133,-11.112,0.165
5588,-1.346,-9.897,0.881
5599,0.312,-8.412,2.371
5612,4.976,-6.331,2.329
5622,7.681,-6.101,0.035
5633,-10.552,-1.544,-5.374
5643,17.966,5.8,-3.868
5658,18.196,1.341,-3.649
5667,16.575,-3.29,-5.844
5678,7.24,-3.378,-9.396
5686,3.24,-2.006,-9.451
5696,1.092,-0.109,-8.741
5713,-0.061,8.948,-4.843
5724,0.472,12.741,-2.872
5733,6.307,14.521,0.66
5749,11.561,14.722,4.787
5756,6.765,14.988,7.285
5767,9.037,16.906,6.632
5778,9.069,15.415,6.579
5791,-1.563,3.107,5.457
5803,4.765,1.21,1.119
5812,-17.493,7.234,2.663
5826,-1.717,3.02,3.019
5837,-10.547,9.963,3.664
5850,3.574,18.294,0.109
5862,-13.284,8.507,-2.106
5873,-6.511,7.547,-15.931
5882,-11.167,-3.616,-23.923
5893,-18.969,-17.372,-21.484
5927,5.329,-6.796,-3.196
5938,15.257,-5.792,-3.774
5952,0.479,-10.785,-1.201
5961,-1.157,-9.77,-0.272
5971,-0.469,-7.806,1.814
5981,-0.115,-6.397,3.567
5995,0.132,-4.552,4.707
6006,0.447,-3.834,5.586
6015,-0.14,-4.597,4.977
6026,4.442,-5.734,2.415
6037,-11.764,-6.291,-1.982
6048,-29.049,-8.304,-7.858
6058,17.97,-1.255,-4.524
6068,17.809,-5.61,-3.698
6079,15.268,-8.321,-4.865
6090,11.022,-8.774,-10.211
6100,3.969,-7.604,-9.96
6114,2.12,-4.691,-9.768
6123,-5.951,1.023,-12.239
6134,-1.868,8.893,-8.61
6145,2.589,12.051,-6.305
6155,5.089,12.265,-5.098
6168,5.527,12.467,-2.483
6176,8.798,12.95,0.369
6187,5.092,16.368,5.812
6198,8.526,20.871,9.338
6211,4.845,18.253,9.564
