time,x,y,z
17,1.857,-4.294,8.153
26,1.752,-4.27,8.091
37,1.786,-4.242,8.076
48,1.877,-4.495,8.081
62,2.135,-4.476,8.339
73,2.331,-4.639,8.55
84,2.729,-4.51,9.081
92,2.858,-4.557,9.115
103,2.681,-4.495,9.077
114,2.528,-4.222,9.01
127,2.403,-3.993,8.991
138,2.26,-4.012,8.818
149,2.36,-4.356,8.756
158,2.47,-4.615,8.813
171,2.576,-4.715,8.847
182,2.58,-4.653,8.828
192,2.671,-4.83,8.923
202,2.714,-4.601,9.019
213,2.604,-4.366,8.991
224,2.389,-4.294,8.856
238,2.288,-4.064,8.876
251,2.279,-4.079,8.904
261,2.255,-4.179,8.789
271,2.173,-4.27,8.627
285,2.269,-4.452,8.598
297,2.427,-4.739,8.809
306,2.576,-4.443,8.876
317,2.518,-4.38,8.756
327,2.499,-4.481,8.608
341,2.513,-4.261,8.698
351,2.446,-4.371,8.564
362,2.351,-4.519,8.191
373,2.193,-4.467,8.143
381,2.193,-4.538,8.205
392,2.37,-4.754,8.32
406,2.427,-4.672,8.363
412,2.456,-4.553,8.387
423,2.422,-4.553,8.368
434,2.327,-4.49,8.325
449,2.173,-4.414,8.339
459,2.039,-4.318,8.177
469,1.881,-4.376,8.143
475,1.944,-4.409,8.234
486,2.078,-4.332,8.411
501,2.159,-4.265,8.502
511,2.169,-4.16,8.45
517,2.394,-4.074,8.655
527,2.777,-4.242,8.947
538,3.102,-4.347,9.278
553,3.16,-4.581,9.273
565,3.15,-4.543,9.278
573,3.112,-4.313,9.254
580,2.973,-4.112,9.182
590,2.882,-4.021,9.072
601,2.858,-4.505,8.904
616,2.944,-4.715,8.77
621,2.963,-4.768,8.785
632,2.853,-4.706,8.789
643,2.734,-4.687,8.818
658,2.561,-4.352,8.837
667,2.374,-4.328,8.737
677,2.346,-3.921,8.938
683,2.499,-3.811,9.125
694,2.499,-3.782,9.139
710,2.351,-3.815,9.048
718,2.126,-3.892,8.847
725,2.049,-3.849,8.766
740,2.073,-3.815,8.713
751,2.102,-4.036,8.78
766,2.24,-3.605,8.933
775,2.403,-3.514,8.971
782,2.523,-3.839,8.952
797,2.786,-4.17,8.976
803,2.815,-4.294,8.828
814,2.528,-4.289,8.579
828,2.427,-4.184,8.411
836,2.413,-4.246,8.354
847,2.331,-4.098,8.363
858,2.25,-4.117,8.311
872,2.245,-4.242,8.239
884,2.312,-4.438,8.316
894,2.341,-4.376,8.335
903,2.226,-4.356,8.292
913,2.068,-4.227,8.344
924,2.13,-3.959,8.55
937,2.255,-3.792,8.708
949,2.48,-3.959,8.871
960,2.456,-4.16,8.78
973,2.36,-4.203,8.708
984,2.312,-4.222,8.612
994,2.341,-4.251,8.507
1001,2.365,-4.237,8.56
1012,2.456,-4.39,8.612
1022,2.418,-4.495,8.598
1037,2.513,-4.371,8.727
1045,2.413,-4.481,8.679
1056,2.374,-4.581,8.622
1066,2.394,-4.615,8.588
1077,2.408,-4.615,8.579
1088,2.485,-4.538,8.833
1097,2.71,-4.51,8.952
1112,2.748,-4.318,9.11
1123,2.705,-4.213,9.163
1134,2.485,-4.261,8.89
1144,2.384,-4.151,8.789
1155,2.13,-3.973,8.689
1169,2.044,-3.969,8.598
1176,2.231,-3.911,8.722
1189,2.47,-4.304,8.842
1200,2.71,-4.323,8.986
1212,2.781,-4.529,8.957
1220,2.757,-4.208,9.067
1235,2.413,-4.313,8.746
1246,2.245,-4.141,8.593
1260,2.164,-4.031,8.507
1270,2.106,-4.227,8.445
1281,2.154,-4.232,8.507
1290,2.288,-4.289,8.541
1301,2.552,-4.4,8.675
1315,2.753,-4.519,8.837
1325,2.738,-4.404,8.89
1335,2.355,-4.141,8.708
1345,2.111,-4.079,8.497
1361,2.059,-4.002,8.43
1371,1.781,-4.04,8.239
1382,1.805,-4.251,8.129
1387,2.02,-4.332,8.196
1397,2.389,-4.423,8.512
1408,2.561,-4.409,8.746
1423,2.456,-4.304,8.775
1432,2.307,-4.155,8.794
1442,2.269,-3.973,8.842
1448,2.327,-3.983,8.823
1459,2.231,-3.993,8.761
1473,2.173,-3.993,8.689
1484,2.207,-4.05,8.698
1495,2.303,-4.218,8.67
1504,2.379,-4.347,8.708
1515,2.528,-4.61,8.722
1525,2.652,-4.696,8.804
1539,2.585,-4.194,8.852
1548,2.413,-4.055,8.77
1562,2.355,-4.38,8.665
1571,2.461,-4.471,8.718
1581,2.427,-4.423,8.713
1595,2.437,-4.265,8.77
1605,2.513,-4.064,8.818
1616,2.456,-4.098,8.809
1630,2.384,-4.242,8.722
1639,2.408,-4.213,8.766
1650,2.523,-4.27,8.919
1658,2.738,-4.17,9.034
1667,2.786,-4.093,9.196
1677,2.671,-4.088,9.096
1691,2.585,-4.007,9.0
1701,2.293,-4.069,8.689
1711,2.106,-4.031,8.588
1722,2.006,-4.088,8.493
1736,1.996,-4.179,8.483
1746,2.001,-4.122,8.555
1757,2.073,-3.978,8.679
1768,2.245,-3.978,8.938
1776,2.489,-4.012,9.134
1787,3.064,-4.194,9.417
1800,2.939,-4.347,9.378
1809,2.566,-4.06,9.038
1820,2.303,-3.95,8.751
1835,2.288,-4.06,8.655
1845,2.231,-4.256,8.569
1854,2.178,-4.462,8.263
1865,2.02,-4.524,8.143
1873,2.087,-4.467,8.143
1882,2.145,-4.625,8.268
1893,2.269,-4.629,8.464
1906,2.394,-4.428,8.608
1917,2.513,-4.481,8.856
1927,2.571,-4.4,8.967
1938,2.485,-4.337,8.919
1948,2.346,-4.28,8.833
1962,2.264,-4.203,8.775
1972,2.169,-4.232,8.627
1982,2.02,-4.237,8.493
1993,2.011,-4.16,8.459
2003,1.924,-4.227,8.387
2016,2.02,-4.275,8.416
2028,2.126,-4.452,8.497
2034,2.298,-4.735,8.617
2046,2.432,-4.203,8.976
2056,2.408,-3.94,9.072
2070,2.36,-3.973,9.019
2082,2.389,-4.237,8.938
2091,2.408,-4.328,8.962
2102,2.327,-4.261,8.923
2113,2.173,-4.16,8.785
2126,2.078,-4.079,8.694
2137,2.025,-4.084,8.612
2147,2.049,-4.16,8.569
2157,2.13,-4.423,8.579
2168,2.346,-4.505,8.823
2181,2.576,-4.275,9.081
2192,2.485,-4.184,8.904
2198,2.307,-4.155,8.833
2208,2.049,-4.122,8.655
2219,1.958,-4.213,8.517
2233,2.011,-4.428,8.483
2243,2.14,-4.462,8.665
2253,2.437,-4.265,8.9
2263,2.619,-4.395,9.019
2274,2.796,-4.586,9.086
2286,2.743,-4.663,9.014
2298,2.528,-4.505,8.847
2304,2.25,-4.27,8.584
2315,2.097,-4.184,8.536
2326,2.116,-4.198,8.588
2336,2.102,-4.323,8.536
2353,2.169,-4.309,8.517
2361,2.264,-4.471,8.569
2372,2.442,-4.543,8.766
2382,2.561,-4.49,8.871
2392,2.408,-4.419,8.847
2405,2.284,-4.098,8.813
2417,2.217,-4.107,8.655
2428,2.03,-4.246,8.545
2438,1.987,-3.954,8.493
2452,1.857,-3.921,8.411
2463,1.781,-4.127,8.349
2473,1.987,-4.538,8.541
2484,2.437,-4.672,8.799
2495,2.585,-4.39,9.163
2509,2.528,-4.084,9.153
2521,2.317,-4.117,9.029
2535,2.274,-4.304,8.933
2546,2.255,-4.299,8.856
2554,2.106,-4.16,8.713
2566,1.939,-4.084,8.612
2575,1.901,-4.007,8.665
2589,1.958,-4.103,8.732
2598,2.169,-4.155,8.88
2605,2.374,-4.232,8.952
2616,2.25,-4.256,8.746
2631,2.111,-4.237,8.622
2641,2.035,-4.462,8.445
2651,1.977,-4.562,8.359
2662,1.838,-4.605,8.44
2673,1.824,-3.839,8.852
2682,2.303,-3.552,9.35
2693,2.346,-3.777,9.421
2705,2.317,-3.619,9.397
2716,2.351,-3.466,9.35
2731,2.279,-3.648,9.244
2742,2.26,-3.93,9.043
2752,2.183,-4.107,9.062
2763,2.379,-3.887,9.287
2771,2.571,-3.945,9.249
2781,2.585,-4.088,9.101
2796,2.638,-4.208,8.928
2806,2.595,-4.409,8.675
2817,2.499,-4.457,8.258
2827,2.365,-4.117,7.952
2844,2.341,-4.098,7.564
2855,2.47,-3.868,7.248
2864,2.662,-3.868,6.697
2875,3.049,-3.452,5.908
2885,3.203,-3.03,5.07
2899,3.093,-2.456,4.261
2910,2.848,-1.604,3.533
2919,2.26,-1.211,1.953
2928,1.173,-0.685,1.221
2942,0.431,-1.144,0.086
2953,-0.12,-1.81,-0.618
2964,0.737,-0.718,-0.373
