time,x,y,z
17,0.055,-0.057,0.065
26,0.024,-0.103,0.06
37,-0.006,-0.178,0.026
48,0.016,-0.244,-0.005
62,0.065,-0.265,-0.039
73,0.15,-0.23,-0.07
84,0.183,-0.16,-0.099
92,0.18,-0.071,-0.082
103,0.169,-0.018,-0.023
114,0.115,-0.012,0.016
127,0.042,-0.048,0.028
138,-0.079,-0.073,0.013
149,-0.106,-0.099,-0.002
158,-0.067,-0.093,-0.011
171,-0.004,-0.066,-0.015
182,0.032,-0.034,-0.024
192,0.077,-0.021,0.024
202,0.067,0.005,0.071
213,0.04,0.021,0.098
224,0.01,0.0,0.105
238,-0.021,-0.034,0.048
251,-0.062,-0.018,-0.01
261,-0.059,-0.002,-0.054
271,-0.017,-0.009,-0.099
285,0.011,-0.023,-0.109
297,0.089,-0.005,-0.045
306,0.078,0.027,0.011
317,0.031,0.037,0.038
327,0.002,0.024,0.07
341,-0.023,0.027,0.035
351,-0.051,0.064,0.0
362,-0.027,0.045,-0.033
373,0.001,-0.002,-0.071
381,0.013,-0.026,-0.082
392,0.032,-0.033,-0.046
406,0.032,-0.033,0.017
412,0.021,-0.037,0.034
423,-0.004,-0.033,0.056
434,0.007,-0.028,0.064
449,0.042,-0.034,0.026
459,0.068,-0.076,-0.055
469,0.136,-0.115,-0.104
475,0.165,-0.127,-0.125
486,0.203,-0.147,-0.169
501,0.239,-0.162,-0.186
511,0.252,-0.169,-0.231
517,0.222,-0.177,-0.219
527,0.193,-0.182,-0.192
538,0.192,-0.115,-0.219
553,0.23,-0.021,-0.206
565,0.243,0.017,-0.149
573,0.158,0.011,-0.088
580,0.07,0.0,-0.066
590,-0.064,-0.029,-0.046
601,-0.155,-0.046,-0.012
616,-0.139,-0.026,0.042
621,-0.087,-0.011,0.043
632,-0.034,0.016,0.045
643,0.054,0.059,0.078
658,0.087,0.087,0.078
667,0.117,0.032,0.099
677,0.1,-0.002,0.114
683,0.051,0.002,0.117
694,-0.002,0.029,0.125
710,-0.033,0.053,0.105
718,-0.022,0.043,0.089
725,-0.002,0.033,0.072
740,0.026,0.016,0.013
751,0.07,0.004,0.021
766,0.067,0.005,0.02
775,-0.018,0.011,-0.01
782,-0.065,0.016,-0.01
797,-0.084,0.099,0.005
803,-0.079,0.125,0.016
814,-0.059,0.134,0.027
828,-0.072,0.101,0.034
836,-0.1,0.053,0.059
847,-0.153,0.024,0.081
858,-0.176,0.009,0.07
872,-0.159,-0.021,0.045
884,-0.062,-0.013,0.035
894,-0.006,0.01,0.021
903,0.037,0.013,0.026
913,0.09,-0.016,0.018
924,0.082,-0.04,0.002
937,0.043,-0.049,-0.026
949,-0.006,-0.029,-0.022
960,-0.032,-0.007,-0.006
973,-0.048,-0.002,0.012
984,-0.057,-0.015,0.027
994,-0.065,-0.032,0.011
1001,-0.057,-0.031,-0.001
1012,-0.037,-0.017,-0.032
1022,0.0,-0.02,-0.04
1037,0.013,-0.022,-0.053
1045,0.0,-0.026,-0.039
1056,0.001,-0.039,-0.016
1066,0.005,-0.061,0.013
1077,0.043,-0.079,0.017
1088,0.071,-0.072,0.026
1097,0.097,-0.035,0.05
1112,0.105,0.035,0.038
1123,0.095,0.082,0.033
1134,0.089,0.084,0.059
1144,0.072,0.055,0.054
1155,0.032,0.016,0.035
1169,0.005,-0.044,0.013
1176,-0.035,-0.093,-0.007
1189,-0.057,-0.089,0.027
1200,-0.043,-0.048,0.04
1212,0.024,0.01,0.049
1220,0.038,0.04,0.021
1235,0.045,0.095,0.022
1246,0.045,0.071,0.035
1260,0.007,0.033,0.024
1270,-0.016,-0.017,0.035
1281,-0.027,-0.054,0.042
1290,-0.035,-0.068,0.043
1301,-0.022,-0.055,0.059
1315,0.006,0.035,0.083
1325,0.044,0.106,0.086
1335,0.045,0.13,0.072
1345,0.024,0.094,0.066
1361,-0.018,0.049,0.057
1371,-0.066,-0.004,0.043
1382,-0.06,-0.111,0.033
1387,-0.035,-0.142,0.026
1397,0.018,-0.13,0.018
1408,0.062,-0.071,0.012
1423,0.097,-0.023,0.007
1432,0.109,-0.009,0.001
1442,0.078,-0.013,-0.002
1448,0.059,-0.013,0.004
1459,0.011,-0.034,0.022
1473,-0.051,-0.061,0.024
1484,-0.071,-0.082,-0.015
1495,-0.05,-0.086,-0.032
1504,-0.026,-0.078,-0.05
1515,-0.005,-0.064,-0.034
1525,0.031,-0.043,0.021
1539,0.007,-0.012,0.04
1548,-0.035,-0.011,0.016
1562,-0.038,-0.038,0.018
1571,0.001,-0.043,0.013
1581,0.029,-0.044,-0.001
1595,0.044,-0.059,0.016
1605,0.011,-0.049,0.027
1616,-0.029,-0.038,0.032
1630,-0.016,-0.055,0.02
1639,0.023,-0.062,0.007
1650,0.061,-0.056,0.013
1658,0.062,-0.032,0.026
1667,0.04,0.007,0.044
1677,0.005,0.06,0.073
1691,-0.024,0.072,0.07
1701,-0.057,0.06,0.068
1711,-0.053,0.032,0.056
1722,-0.043,-0.011,0.028
1736,-0.001,-0.039,0.009
1746,0.046,-0.06,-0.037
1757,0.079,-0.082,-0.064
1768,0.065,-0.077,-0.064
1776,0.05,-0.035,-0.051
1787,0.034,0.075,-0.031
1800,0.039,0.197,0.04
1809,-0.002,0.208,0.048
1820,-0.081,0.159,0.053
1835,-0.145,0.117,0.054
1845,-0.178,0.094,0.043
1854,-0.173,0.04,0.037
1865,-0.078,0.002,0.028
1873,-0.05,-0.02,0.006
1882,-0.01,-0.037,-0.005
1893,0.048,-0.033,0.006
1906,0.064,-0.031,-0.01
1917,0.067,-0.023,0.007
1927,0.051,0.009,0.024
1938,0.013,0.038,0.039
1948,-0.018,0.031,0.055
1962,-0.051,0.011,0.076
1972,-0.093,0.0,0.098
1982,-0.092,-0.032,0.101
1993,-0.083,-0.035,0.071
2003,-0.062,-0.049,0.033
2016,-0.015,-0.057,-0.01
2028,0.059,-0.056,-0.044
2034,0.137,-0.059,-0.021
2046,0.155,-0.038,0.013
2056,0.083,-0.013,0.016
2070,0.007,-0.022,0.024
2082,-0.045,-0.012,0.044
2091,-0.024,0.004,0.043
2102,-0.004,0.017,0.022
2113,-0.001,0.015,0.022
2126,-0.039,-0.018,0.027
2137,-0.086,-0.045,0.029
2147,-0.079,-0.067,0.004
2157,-0.028,-0.079,-0.015
2168,0.042,-0.06,0.0
2181,0.071,0.031,-0.021
2192,0.038,0.064,-0.021
2198,0.024,0.067,-0.009
2208,-0.024,0.035,-0.009
2219,-0.049,-0.012,-0.013
2233,-0.013,-0.071,-0.015
2243,0.011,-0.084,-0.013
2253,0.017,-0.068,-0.022
2263,-0.002,-0.028,-0.018
2274,-0.004,0.029,0.0
2286,0.022,0.088,0.028
2298,0.034,0.1,0.053
2304,0.002,0.077,0.054
2315,-0.045,0.011,0.05
2326,-0.073,-0.027,0.037
2336,-0.072,-0.05,0.031
2353,-0.045,-0.079,-0.001
2361,0.01,-0.073,0.004
2372,0.077,-0.021,0.024
2382,0.097,0.044,0.05
2392,0.115,0.09,0.094
2405,0.099,0.101,0.083
2417,0.081,0.094,0.06
2428,0.086,0.072,0.06
2438,0.053,0.039,0.035
2452,-0.002,-0.016,0.005
2463,-0.042,-0.066,-0.029
2473,-0.012,-0.097,-0.043
2484,0.076,-0.071,-0.017
2495,0.09,-0.017,0.01
2509,0.01,0.038,0.068
2521,-0.064,0.034,0.088
2535,-0.076,0.037,0.094
2546,-0.039,0.048,0.067
2554,-0.015,0.038,0.042
2566,0.001,-0.009,0.029
2575,-0.017,-0.039,0.017
2589,-0.031,-0.079,0.009
2598,-0.032,-0.057,0.005
2605,-0.033,-0.021,0.016
2616,-0.028,-0.001,0.034
2631,-0.018,-0.005,0.035
2641,0.02,-0.039,0.037
2651,0.13,-0.075,0.073
2662,0.204,-0.131,0.065
2673,0.271,-0.156,-0.043
2682,0.286,-0.109,-0.166
2693,0.291,-0.044,-0.211
2705,0.247,-0.016,-0.176
2716,0.162,0.007,-0.159
2731,0.07,0.024,-0.143
2742,0.001,0.012,-0.079
2752,-0.006,-0.015,-0.065
2763,-0.04,0.007,-0.087
2771,-0.07,0.038,-0.092
2781,-0.114,0.071,-0.083
2796,-0.171,0.098,-0.039
2806,-0.209,0.138,0.011
2817,-0.243,0.131,0.057
2827,-0.307,0.114,0.094
2844,-0.386,0.086,0.213
2855,-0.502,0.075,0.294
2864,-0.572,0.097,0.365
2875,-0.665,0.134,0.523
2885,-0.832,0.119,0.696
2899,-1.139,0.083,0.93
2910,-1.658,-0.044,1.278
2919,-2.044,-0.22,1.4
2928,-2.495,-0.534,1.547
2942,-2.707,-0.948,1.682
2953,-2.72,-1.339,1.842
2964,-3.002,-1.846,1.704
2973,-2.997,-1.938,1.472
2984,-3.036,-1.677,0.91
2995,-3.128,-1.427,0.538
3009,-3.156,-1.308,0.272
3019,-3.071,-1.35,0.219
3028,-3.001,-1.494,0.078
3039,-2.798,-1.718,-0.31
