time,x,y,z
17,3.586,-2.489,9.086
28,3.638,-2.604,9.096
36,3.61,-2.542,9.067
44,3.447,-2.504,8.971
54,3.361,-2.576,8.952
68,3.337,-2.461,8.995
78,3.265,-2.193,9.005
87,3.14,-2.351,8.88
98,3.179,-2.633,8.847
109,3.212,-2.719,8.809
123,3.284,-2.676,8.852
134,3.327,-2.762,8.861
144,3.303,-2.738,8.895
154,3.227,-2.781,8.957
164,3.174,-2.71,9.01
177,3.112,-2.561,9.029
185,3.212,-2.485,9.172
196,3.332,-2.284,9.316
210,3.413,-2.432,9.335
220,3.471,-2.451,9.397
230,3.356,-2.633,9.211
240,3.16,-2.547,9.101
250,3.126,-2.509,8.995
265,3.102,-2.772,8.885
276,3.069,-2.863,8.77
284,3.131,-2.667,8.947
295,3.423,-2.7,9.182
306,3.605,-2.959,9.345
320,3.667,-2.882,9.426
330,3.634,-2.705,9.431
340,3.485,-2.609,9.201
351,3.255,-2.805,8.923
365,3.155,-2.767,8.813
376,3.083,-2.724,8.727
384,3.035,-2.762,8.689
395,3.097,-2.671,8.804
406,3.164,-2.547,8.952
422,3.38,-2.705,9.144
431,3.509,-2.59,9.402
441,3.476,-2.532,9.397
452,3.279,-2.384,9.096
462,3.026,-2.293,8.9
476,2.959,-2.312,8.794
485,2.992,-2.566,8.689
496,3.035,-2.738,8.718
507,3.121,-2.652,8.837
517,3.179,-2.748,8.947
532,3.284,-2.662,9.182
543,3.456,-2.456,9.345
554,3.485,-2.714,9.326
564,3.409,-2.757,9.139
575,3.035,-2.719,8.885
585,2.954,-2.724,8.766
595,2.982,-2.681,8.78
609,3.03,-2.556,8.852
624,3.255,-2.379,9.043
634,3.356,-2.355,9.168
643,3.322,-2.499,9.019
654,3.38,-2.638,8.986
665,3.476,-2.786,9.034
680,3.538,-2.767,9.034
690,3.461,-2.791,9.01
701,3.466,-2.834,8.981
712,3.461,-2.705,8.981
722,3.327,-2.777,8.952
737,3.409,-2.839,9.053
748,3.552,-2.997,9.206
758,3.715,-2.925,9.35
769,3.677,-2.58,9.469
779,3.365,-2.59,9.292
789,2.978,-2.556,9.201
803,2.791,-2.446,9.043
813,2.604,-2.442,8.919
824,2.623,-2.374,8.971
841,2.844,-2.614,9.062
850,3.049,-2.595,9.177
861,3.322,-2.461,9.335
871,3.231,-2.432,9.311
885,3.073,-2.633,9.086
896,2.968,-2.274,9.024
906,2.887,-2.264,8.847
