time,x,y,z
17,0.031,-0.018,-0.04
28,0.007,0.011,0.017
36,-0.017,0.033,0.06
44,-0.049,0.039,0.066
54,-0.064,0.017,0.078
68,-0.062,0.002,0.081
78,-0.131,-0.009,0.049
87,-0.15,-0.029,0.029
98,-0.119,-0.042,0.007
109,-0.068,-0.04,-0.009
123,-0.011,-0.034,-0.042
134,0.034,-0.001,-0.031
144,0.055,0.006,-0.031
154,0.081,0.004,-0.028
164,0.098,-0.005,-0.023
177,0.084,-0.031,-0.028
185,0.059,-0.051,-0.013
196,0.004,-0.045,-0.016
210,-0.027,-0.023,-0.022
220,-0.024,0.026,-0.048
230,-0.002,0.038,-0.04
240,0.012,0.029,-0.032
250,-0.022,0.013,-0.045
265,-0.026,-0.006,-0.039
276,-0.011,-0.054,-0.018
284,0.007,-0.073,-0.04
295,0.009,-0.06,-0.092
306,0.075,-0.028,-0.093
320,0.078,0.017,-0.05
330,0.07,0.061,-0.024
340,-0.028,0.072,0.002
351,-0.038,0.06,0.029
365,-0.027,0.027,0.015
376,0.004,-0.002,-0.006
384,0.022,-0.031,-0.004
395,0.016,-0.051,0.007
406,0.009,-0.065,0.004
422,0.312,-0.049,0.016
431,0.033,-0.006,0.001
441,0.039,0.07,0.009
452,0.027,0.064,0.011
462,-0.016,0.033,0.001
476,-0.06,-0.001,-0.01
485,-0.072,-0.026,-0.011
496,-0.021,-0.044,-0.016
507,0.009,-0.046,-0.037
517,0.039,-0.056,-0.04
532,0.06,-0.051,-0.021
543,0.028,-0.011,-0.031
554,-0.001,0.034,0.005
564,-0.022,0.059,0.04
575,-0.038,0.039,0.061
585,-0.024,0.012,0.061
595,0.001,-0.018,0.044
609,0.031,-0.046,0.02
624,0.032,-0.056,-0.026
634,0.006,-0.029,-0.051
643,-0.007,-0.028,-0.053
654,-0.027,-0.038,-0.029
665,-0.027,-0.02,-0.009
680,-0.005,-0.002,-0.017
690,0.038,-0.002,-0.026
701,0.06,-0.002,-0.024
712,0.059,-0.029,-0.026
722,0.024,-0.06,-0.009
737,0.022,-0.084,0.028
748,0.023,-0.06,0.073
758,0.077,-0.007,0.089
769,0.075,0.067,0.051
779,0.087,0.078,0.021
789,0.098,0.068,0.023
803,0.051,0.028,0.035
813,0.016,-0.02,0.05
824,-0.035,-0.055,0.048
841,-0.038,-0.06,0.084
850,-0.018,-0.032,0.083
861,0.039,0.028,0.057
871,0.079,0.084,0.002
885,0.156,0.093,-0.023
896,0.137,0.049,-0.051
906,0.092,-0.012,-0.037
916,0.024,-0.075,-0.005
927,-0.045,-0.11,0.024
943,-0.083,-0.089,0.04
953,-0.072,-0.034,0.05
963,-0.001,0.081,0.06
969,0.023,0.112,0.06
983,0.044,0.111,0.053
994,0.01,0.064,0.046
1005,-0.02,-0.009,0.015
1013,-0.006,-0.067,-0.005
1027,0.028,-0.114,-0.002
1038,0.048,-0.099,-0.004
1047,0.04,-0.065,0.005
1057,0.038,-0.01,0.011
1068,0.001,0.059,0.002
1079,0.021,0.103,0.023
1087,-0.007,0.104,0.029
1102,-0.067,0.037,0.026
1112,-0.101,-0.021,0.021
1124,-0.108,-0.073,-0.016
1132,-0.079,-0.094,-0.032
1143,-0.015,-0.087,-0.013
1158,0.062,-0.061,0.017
1168,0.099,-0.011,0.029
1178,0.071,0.028,0.031
1185,0.042,0.031,0.035
1195,0.022,0.016,0.027
1209,-0.006,0.0,0.01
1217,-0.006,-0.021,-0.011
1229,0.01,-0.032,-0.021
1243,0.01,-0.021,-0.056
1254,0.035,-0.007,-0.023
1265,0.057,0.049,0.015
1274,0.004,0.059,0.028
1285,-0.043,0.028,0.032
1295,-0.054,0.011,0.042
1308,-0.043,-0.009,0.032
1316,-0.015,-0.032,0.007
1327,0.034,-0.049,0.007
1342,0.046,-0.034,0.009
1353,0.059,0.046,-0.015
1362,0.053,0.097,-0.034
1373,0.054,0.104,-0.02
1384,0.011,0.079,-0.006
1398,-0.049,0.028,0.012
1408,-0.087,-0.012,0.031
1419,-0.062,-0.048,0.024
1429,-0.017,-0.061,0.017
1439,0.059,-0.055,0.007
1455,0.067,-0.027,-0.013
1465,0.07,0.034,0.01
1475,0.062,0.056,0.023
1485,0.02,0.048,0.028
1494,-0.004,0.011,0.027
1507,-0.013,-0.022,0.027
1517,-0.017,-0.071,0.017
1528,-0.023,-0.053,0.038
1538,0.02,-0.022,0.048
1549,0.002,0.017,0.002
1560,0.034,0.048,0.006
1569,0.046,0.057,0.017
1579,0.011,0.045,0.033
1595,-0.039,-0.006,0.023
1603,-0.037,-0.081,0.012
1614,0.013,-0.128,-0.017
1625,0.04,-0.136,-0.029
1635,0.04,-0.1,-0.031
1645,0.024,-0.038,-0.022
1660,0.04,0.02,0.0
1670,0.048,0.068,0.045
1681,0.024,0.055,0.05
1691,-0.038,0.022,0.038
1702,-0.065,-0.032,0.034
1712,-0.05,-0.065,0.027
1727,-0.032,-0.056,-0.01
1736,0.021,-0.048,-0.018
1747,0.099,-0.02,-0.002
1757,0.089,0.033,-0.005
1766,0.076,0.05,0.0
1780,0.007,0.045,0.004
1787,-0.017,0.024,0.012
1797,-0.048,0.001,0.018
1808,-0.061,-0.006,0.021
1821,-0.048,-0.013,0.02
1829,-0.051,-0.012,0.015
1843,-0.046,-0.009,0.02
1852,-0.048,-0.012,0.011
1860,-0.044,-0.01,-0.011
1869,-0.001,-0.002,-0.002
1886,0.031,0.016,0.01
1896,0.031,0.016,0.018
1907,0.018,0.012,0.043
1917,0.026,0.0,0.046
1927,0.034,-0.012,0.037
1938,0.026,-0.029,0.021
1949,0.005,-0.032,0.021
1957,-0.001,-0.012,0.02
1972,-0.006,0.028,0.023
1981,0.012,0.044,0.04
1996,-0.002,0.053,0.035
2006,-0.011,0.021,0.035
2015,-0.013,-0.015,0.022
2022,-0.002,-0.032,0.015
2032,0.01,-0.04,0.012
2046,0.04,-0.022,0.011
2056,0.049,0.015,-0.002
2067,0.059,0.044,0.001
2077,0.05,0.055,0.013
2091,0.001,0.062,0.026
2103,-0.013,0.04,0.024
2111,-0.01,0.0,0.026
2125,-0.015,-0.048,0.015
2138,-0.009,-0.061,0.017
2152,-0.015,-0.006,0.026
2164,-0.033,0.077,0.021
2174,0.0,0.104,0.035
2185,0.005,0.087,0.026
2193,-0.001,0.042,0.009
2204,-0.005,-0.007,-0.011
2219,-0.023,-0.032,-0.035
2230,-0.007,-0.048,-0.024
2239,0.018,-0.046,-0.002
2249,0.007,-0.035,0.01
2260,-0.004,-0.012,0.029
2271,-0.02,0.012,0.037
2284,-0.022,0.055,0.048
2295,-0.015,0.071,0.04
2305,-0.01,0.059,0.031
2315,0.007,0.021,0.017
2326,0.009,-0.026,-0.005
2338,0.002,-0.086,-0.018
