time,x,y,z
17,3.897,-1.628,9.019
28,3.95,-1.743,9.115
37,4.093,-1.728,9.139
47,4.093,-1.867,9.134
61,4.012,-1.738,9.005
71,3.792,-1.498,8.809
82,3.725,-1.527,8.718
92,3.662,-1.824,8.675
103,3.681,-2.049,8.66
113,3.715,-2.001,8.698
127,3.815,-1.857,8.842
133,3.964,-1.805,8.971
144,3.997,-1.666,9.067
155,3.878,-1.537,9.034
168,3.729,-1.283,8.952
179,3.638,-1.364,8.895
188,3.715,-1.498,8.943
199,3.768,-1.479,8.938
213,3.83,-1.494,8.933
223,3.916,-1.479,9.014
234,3.988,-1.46,9.139
240,4.021,-1.695,9.125
249,3.964,-1.767,9.058
260,3.758,-1.676,8.976
275,3.729,-1.848,8.9
285,3.792,-1.757,8.991
296,3.815,-1.661,9.0
305,3.83,-1.623,9.0
314,3.859,-1.699,9.067
328,3.93,-1.57,9.101
339,3.945,-1.609,9.168
350,3.997,-1.542,9.306
360,4.074,-1.513,9.321
369,4.04,-1.537,9.239
375,3.95,-1.46,9.216
390,3.763,-1.288,9.101
401,3.61,-1.575,8.943
410,3.667,-1.661,8.943
421,3.667,-1.757,8.895
431,3.705,-1.68,8.895
442,3.796,-1.805,8.947
455,3.739,-1.69,8.952
466,3.744,-1.68,8.933
476,3.72,-1.542,9.058
487,3.868,-1.857,9.12
496,3.739,-1.69,9.115
507,3.61,-1.575,9.019
520,3.686,-1.867,8.967
531,3.873,-1.68,9.077
545,3.93,-1.642,9.134
555,3.93,-1.532,9.134
566,3.969,-1.714,9.11
577,3.897,-1.862,8.991
587,3.859,-1.987,8.986
602,3.777,-1.776,8.967
613,3.648,-1.647,9.0
623,3.672,-1.594,9.01
629,3.619,-1.422,8.995
638,3.614,-1.412,8.943
649,3.653,-1.589,8.885
660,3.715,-1.767,8.909
671,3.868,-1.704,8.995
682,3.926,-1.585,9.062
695,3.916,-1.642,9.067
706,3.849,-1.795,8.933
716,3.614,-1.752,8.823
730,3.509,-1.676,8.789
741,3.523,-1.728,8.833
751,3.595,-2.02,8.833
761,3.715,-1.877,9.091
771,3.93,-1.604,9.321
785,3.959,-1.379,9.484
796,3.825,-1.417,9.436
805,3.772,-1.35,9.335
813,3.677,-1.326,9.244
823,3.624,-1.489,9.168
835,3.509,-1.609,9.029
848,3.399,-1.699,8.861
858,3.519,-1.795,8.885
873,3.696,-1.771,9.062
883,3.83,-1.57,9.254
894,3.897,-1.503,9.326
904,3.835,-1.609,9.206
914,3.629,-1.542,9.0
925,3.586,-1.613,8.904
939,3.581,-1.795,8.933
945,3.734,-1.853,9.014
959,3.83,-1.762,9.058
970,3.863,-1.704,9.058
981,3.768,-1.642,8.943
996,3.72,-1.556,8.909
1007,3.701,-1.671,8.876
1017,3.744,-1.896,8.866
1028,3.859,-1.905,9.086
1037,3.859,-1.738,9.077
1047,3.744,-1.652,9.034
1063,3.624,-1.728,8.909
1073,3.528,-1.848,8.828
1084,3.49,-1.79,8.866
1093,3.667,-1.752,9.105
1102,3.911,-1.46,9.273
1113,3.978,-1.441,9.297
1127,3.863,-1.513,9.182
1137,3.758,-1.546,8.981
1148,3.619,-1.671,8.837
1156,3.629,-1.666,8.871
1167,3.739,-1.757,8.9
1181,3.796,-1.805,9.005
1190,3.849,-1.613,9.086
1201,3.811,-1.594,9.086
1212,3.921,-1.723,9.187
1223,3.964,-1.671,9.211
1233,3.825,-1.561,9.129
1243,3.763,-1.58,9.024
1257,3.734,-1.585,9.005
1267,3.696,-1.431,9.077
1278,3.744,-1.599,8.981
1287,3.681,-1.623,8.933
1297,3.638,-1.388,8.933
1310,3.643,-1.364,8.962
1318,3.681,-1.451,8.967
1329,3.772,-1.604,9.029
1339,3.753,-1.565,9.072
1355,3.806,-1.685,9.029
1365,3.954,-1.767,9.158
1375,4.103,-1.771,9.306
1386,4.17,-1.819,9.225
1396,3.993,-1.767,9.168
1410,3.859,-1.699,9.034
1421,3.691,-1.771,8.914
1430,3.619,-1.824,8.895
1441,3.667,-1.719,8.967
1451,3.705,-1.671,8.976
1461,3.82,-1.609,9.048
1472,3.95,-1.819,9.172
1484,3.988,-1.872,9.206
1497,3.926,-1.594,9.129
1506,3.614,-1.369,8.938
1517,3.523,-1.431,8.837
1528,3.519,-1.518,8.842
1537,3.552,-1.57,8.89
1548,3.72,-1.609,8.995
1561,3.839,-1.69,9.062
1572,3.849,-1.656,9.091
1581,3.839,-1.652,9.024
1592,3.859,-1.709,9.014
1606,3.859,-1.58,9.019
1615,3.701,-1.58,8.904
1626,3.581,-1.58,8.818
1641,3.624,-1.57,8.89
1652,3.729,-1.714,8.971
1662,3.787,-1.68,9.024
1673,3.921,-1.8,9.187
1684,3.94,-1.57,9.22
1692,3.854,-1.522,9.192
1707,3.82,-1.474,9.134
1717,3.849,-1.561,9.177
1728,3.935,-1.594,9.144
1739,3.897,-1.709,9.034
1749,3.902,-1.752,9.034
1764,3.882,-1.513,9.086
1774,3.758,-1.57,9.058
1783,3.758,-1.747,9.005
1797,3.753,-1.762,8.967
1806,3.873,-1.79,9.034
1814,4.017,-1.661,9.201
1825,4.088,-1.69,9.316
1839,4.088,-1.58,9.311
1849,3.897,-1.379,9.235
1859,3.782,-1.393,9.091
1870,3.734,-1.532,8.952
1881,3.83,-1.795,8.914
1889,3.844,-1.848,8.933
1900,3.796,-1.776,8.971
1914,3.825,-1.666,9.072
1922,4.079,-1.685,9.268
1934,4.179,-1.79,9.364
1945,4.045,-1.628,9.283
1953,3.811,-1.489,9.11
1964,3.634,-1.532,8.923
1974,3.567,-1.623,8.746
1985,3.456,-1.613,8.742
1995,3.519,-1.609,8.766
2009,3.643,-1.604,8.919
2019,3.782,-1.628,9.019
2031,3.878,-1.728,9.072
2041,3.964,-1.34,9.259
2051,3.964,-1.35,9.321
2066,3.887,-1.494,9.206
2075,3.72,-1.374,9.024
2083,3.519,-1.355,8.761
2093,3.437,-1.661,8.612
2104,3.456,-1.982,8.56
2119,3.547,-2.231,8.627
2129,3.701,-1.996,8.818
2140,4.074,-1.623,9.23
2149,4.203,-1.513,9.469
2160,4.055,-1.489,9.326
2170,3.835,-1.522,9.144
2184,3.686,-1.422,9.019
2195,3.677,-1.613,8.933
2205,3.576,-1.781,8.775
2215,3.528,-1.719,8.77
2225,3.629,-1.795,8.833
2235,3.926,-1.795,9.086
2248,4.088,-1.685,9.345
2255,4.155,-1.532,9.469
2270,3.988,-1.431,9.306
2281,3.705,-1.474,9.034
2292,3.552,-1.695,8.794
2299,3.514,-1.776,8.722
2313,3.485,-1.81,8.703
2324,3.514,-1.79,8.756
2332,3.686,-1.551,8.938
2342,3.863,-1.436,9.225
2354,4.036,-1.762,9.302
2368,4.194,-1.575,9.378
2379,4.136,-1.489,9.436
2386,3.926,-1.527,9.144
2396,3.643,-1.757,8.866
2411,3.547,-2.03,8.756
2422,3.629,-2.011,8.842
2433,3.696,-1.795,8.943
2442,3.772,-1.561,9.034
2452,3.964,-1.743,9.23
2467,3.997,-1.719,9.354
2475,3.969,-1.714,9.302
2486,3.801,-1.57,9.235
2497,3.677,-1.326,9.058
2504,3.567,-1.384,9.014
2515,3.567,-1.503,8.914
2529,3.6,-1.618,8.904
2537,3.782,-1.747,9.072
2546,3.839,-1.704,9.168
2557,3.839,-1.632,9.182
2571,3.878,-1.546,9.225
2582,3.93,-1.522,9.235
2592,3.863,-1.661,9.144
2602,3.739,-1.666,8.933
2612,3.643,-1.829,8.89
2622,3.686,-1.776,8.938
2637,3.777,-1.628,9.077
2646,3.806,-1.527,9.187
2654,3.887,-1.474,9.249
2663,3.859,-1.417,9.268
2677,3.815,-1.36,9.22
2686,3.705,-1.379,9.11
2697,3.614,-1.589,8.933
2708,3.514,-1.647,8.904
2714,3.595,-1.685,8.919
2731,3.71,-1.843,9.014
2741,3.902,-1.776,9.129
2752,3.945,-1.618,9.182
2762,3.873,-1.637,9.12
2773,3.806,-1.575,8.943
2782,3.667,-1.752,8.804
2797,3.504,-1.652,8.622
2808,3.313,-1.613,8.445
2817,3.322,-1.666,8.387
2828,3.394,-1.671,8.363
2838,3.533,-1.747,8.344
2850,3.705,-1.829,8.282
2862,3.801,-1.652,8.052
2873,3.696,-1.522,7.717
2879,3.744,-1.35,7.444
2891,3.815,-1.465,6.985
2899,3.902,-1.589,6.405
2910,3.983,-1.963,5.778
2924,3.825,-1.896,5.252
2933,3.782,-1.273,4.711
2942,3.394,-0.991,3.964
2952,3.303,-0.752,3.102
2966,3.088,-0.316,2.427
2977,3.069,-0.287,2.059
2987,3.006,0.618,2.068
2997,3.255,0.656,2.284
3012,3.346,1.527,2.657
3023,2.513,0.22,2.02
3032,2.394,0.345,1.628
3043,2.623,-0.359,0.297
3054,3.284,-1.24,0.235
3068,4.127,-0.297,0.555
3078,4.763,0.091,0.819
3089,5.405,0.981,1.106
3099,5.596,0.996,1.278
3107,5.807,-0.627,0.948
3117,6.061,-1.087,0.608
3131,6.707,-1.637,0.072
3141,6.803,-2.394,-0.397
3152,7.013,-2.738,-1.001
3162,6.645,-1.786,-1.01
3172,7.506,-1.58,-0.68
3183,8.378,-2.25,-1.283
3198,9.675,-3.471,-1.838
3207,11.422,-4.433,-1.532
