time,x,y,z
17,0.021,-0.032,-0.005
28,0.018,-0.013,0.012
37,0.023,0.023,0.0
47,0.055,0.07,0.002
61,0.07,0.092,0.011
71,0.042,0.068,0.006
82,-0.029,0.02,-0.006
92,-0.042,-0.006,0.007
103,-0.018,-0.028,0.029
113,0.02,-0.054,0.035
127,0.054,-0.045,0.021
133,0.076,-0.033,0.023
144,0.082,0.006,0.034
155,0.071,0.032,0.049
168,0.033,0.016,0.017
179,0.006,-0.002,0.006
188,0.018,-0.015,-0.006
199,0.022,-0.024,-0.02
213,0.009,-0.04,-0.011
223,-0.023,-0.044,0.011
234,-0.071,-0.004,0.012
240,-0.07,0.01,0.016
249,-0.028,0.031,0.013
260,-0.013,0.024,-0.013
275,0.021,-0.001,-0.012
285,0.034,-0.012,0.02
296,0.01,-0.02,0.028
305,0.006,-0.027,0.02
314,0.017,-0.032,0.016
328,0.043,-0.028,-0.002
339,0.055,-0.015,-0.017
350,0.05,0.029,-0.02
360,0.046,0.071,-0.023
369,0.046,0.087,-0.024
375,0.028,0.095,-0.024
390,-0.021,0.078,-0.027
401,-0.068,0.013,0.026
410,-0.098,-0.012,0.038
421,-0.078,-0.024,0.032
431,-0.055,-0.024,-0.002
442,-0.013,-0.009,-0.011
455,0.007,0.002,-0.038
466,0.029,-0.012,-0.05
476,0.015,-0.012,-0.048
487,0.012,0.007,-0.007
496,0.016,0.022,0.021
507,-0.001,0.01,0.004
520,0.023,-0.038,0.0
531,0.046,-0.043,-0.011
545,0.034,-0.028,-0.017
555,0.009,-0.007,-0.031
566,-0.012,0.021,-0.031
577,0.002,0.042,-0.004
587,0.02,0.049,0.028
602,0.045,0.051,0.032
613,0.023,0.016,0.034
623,-0.009,0.001,0.046
629,-0.029,-0.006,0.037
638,-0.056,-0.018,0.017
649,-0.051,-0.035,-0.02
660,-0.018,-0.038,-0.018
671,0.02,-0.018,-0.01
682,0.016,0.009,-0.006
695,-0.01,0.031,-0.001
706,-0.015,0.037,0.016
716,-0.023,0.026,0.02
730,-0.032,-0.017,0.0
741,-0.024,-0.07,-0.032
751,0.051,-0.095,-0.017
761,0.081,-0.095,-0.011
771,0.084,-0.062,0.004
785,0.06,-0.027,-0.001
796,0.021,0.02,0.012
805,-0.013,0.029,0.006
813,-0.043,0.034,-0.013
823,-0.055,0.034,-0.013
835,-0.057,0.024,-0.005
848,-0.043,-0.023,0.007
858,-0.029,-0.061,0.012
873,0.0,-0.055,0.02
883,0.013,-0.005,-0.009
894,0.02,0.028,-0.035
904,0.026,0.048,-0.039
914,0.01,0.038,-0.035
925,-0.022,0.011,-0.032
939,-0.027,-0.018,-0.01
945,-0.005,-0.017,-0.001
959,0.005,-0.011,0.011
970,-0.007,-0.004,0.018
981,-0.037,-0.011,0.022
996,-0.054,-0.024,-0.011
1007,-0.032,-0.031,-0.033
1017,0.028,-0.032,-0.04
1028,0.055,-0.015,-0.026
1037,0.054,0.009,-0.004
1047,0.009,0.018,0.009
1063,-0.013,0.007,0.024
1073,-0.001,-0.042,0.024
1084,0.034,-0.086,0.015
1093,0.049,-0.09,0.013
1102,0.029,-0.068,0.005
1113,-0.002,-0.022,-0.005
1127,-0.026,0.012,0.0
1137,-0.044,0.001,-0.002
1148,-0.033,-0.023,0.002
1156,-0.016,-0.04,-0.004
1167,0.006,-0.053,-0.005
1181,0.026,-0.06,0.017
1190,0.01,-0.051,0.026
1201,-0.029,-0.057,0.023
1212,-0.022,-0.048,0.023
1223,-0.001,-0.009,0.011
1233,0.015,0.006,-0.009
1243,0.02,0.001,-0.013
1257,0.023,-0.012,-0.006
1267,0.012,-0.016,-0.017
1278,-0.035,-0.017,-0.005
1287,-0.023,-0.024,0.039
1297,-0.026,-0.032,0.016
1310,-0.02,-0.037,-0.035
1318,0.004,-0.056,-0.072
1329,0.032,-0.059,-0.095
1339,0.032,-0.059,-0.108
1355,0.001,-0.068,-0.086
1365,-0.01,-0.072,-0.049
1375,-0.032,-0.032,-0.021
1386,-0.029,0.005,0.005
1396,-0.021,0.029,0.02
1410,-0.023,0.026,0.016
1421,-0.022,-0.307,0.015
1430,-0.004,-0.037,0.011
1441,0.0,-0.048,0.005
1451,0.007,-0.046,0.002
1461,0.007,-0.045,-0.009
1472,0.028,-0.018,-0.001
1484,0.07,0.042,0.039
1497,0.071,0.066,0.054
1506,0.037,0.056,0.039
1517,-0.007,0.006,0.029
1528,-0.017,-0.022,0.017
1537,-0.01,-0.037,0.001
1548,0.007,-0.059,-0.009
1561,0.013,-0.044,0.016
1572,-0.015,-0.024,0.044
1581,-0.04,-0.022,0.05
1592,-0.038,-0.017,0.053
1606,-0.024,-0.004,0.033
1615,-0.021,-0.013,0.021
1626,-0.021,-0.048,0.013
1641,-0.026,-0.082,-0.005
1652,-0.01,-0.084,-0.004
1662,0.02,-0.073,-0.017
1673,0.053,-0.049,0.002
1684,0.057,-0.022,0.01
1692,0.031,-0.015,0.011
1707,0.004,-0.024,0.0
1717,-0.005,-0.022,-0.005
1728,0.002,-0.005,-0.024
1739,0.02,-0.002,-0.023
1749,0.037,-0.011,0.002
1764,0.005,-0.007,0.023
1774,-0.027,-0.012,0.022
1783,-0.027,-0.022,0.023
1797,-0.01,-0.043,0.018
1806,0.02,-0.054,0.005
1814,0.059,-0.043,-0.009
1825,0.073,-0.007,0.006
1839,0.06,0.032,0.023
1849,0.027,0.046,0.009
1859,-0.009,0.023,-0.007
1870,-0.031,0.002,-0.013
1881,-0.006,-0.015,-0.004
1889,0.006,-0.022,0.009
1900,0.017,-0.038,0.021
1914,0.007,-0.049,0.021
1922,0.001,-0.024,0.013
1934,0.011,0.018,0.024
1945,0.017,0.082,0.031
1953,-0.004,0.084,0.021
1964,-0.024,0.051,0.026
1974,-0.024,0.028,0.032
1985,-0.015,-0.015,0.024
1995,0.007,-0.044,0.017
2009,0.023,-0.06,0.017
2019,0.026,-0.034,0.034
2031,0.022,-0.017,0.048
2041,0.035,0.018,0.021
2051,0.017,0.046,-0.027
2066,0.011,0.081,-0.015
2075,-0.017,0.062,0.007
2083,-0.099,0.028,0.007
2093,-0.133,-0.034,0.012
2104,-0.09,-0.07,0.007
2119,0.002,-0.095,-0.001
2129,0.09,-0.108,-0.016
2140,0.116,-0.05,-0.045
2149,0.089,0.017,-0.037
2160,0.032,0.072,-0.005
2170,-0.023,0.065,0.038
2184,-0.068,0.032,0.039
2195,-0.078,0.002,0.018
2205,-0.038,-0.027,0.011
2215,-0.011,-0.05,-0.006
2225,0.006,-0.083,-0.002
2235,0.026,-0.078,0.004
2248,0.044,-0.015,-0.007
2255,0.042,0.037,-0.011
2270,0.01,0.072,-0.001
2281,-0.038,0.07,0.035
2292,-0.065,0.031,0.04
2299,-0.05,0.006,0.034
2313,-0.01,-0.034,0.01
2324,0.037,-0.087,-0.005
2332,0.057,-0.099,-0.032
2342,0.046,-0.073,-0.079
2354,0.067,-0.042,-0.057
2368,0.064,0.001,-0.024
2379,-0.004,0.057,0.022
2386,-0.076,0.086,0.034
2396,-0.098,0.048,0.024
2411,-0.04,-0.006,0.013
2422,0.033,-0.049,0.015
2433,0.034,-0.06,0.023
2442,0.006,-0.068,0.018
2452,0.006,-0.046,0.023
